timestamp,event,instId,side,price,sz,atr,atr_pct,tp,sl,pnl,pnl_pct,close_reason
2026-07-13 16:40:59,OPEN_PAIR,BTC-USDT-SWAP,LONG,62276.6,0.01,410.3526529163,0.6589,63097.3,61866.2,0,0,
2026-07-13 16:40:59,OPEN_PAIR,ETH-USDT-SWAP,SHORT,1769.88,0.01,13.495586566681,0.7625,1742.89,1783.38,0,0,
2026-07-13 18:01:10,CLOSE_ETH,ETH-USDT-SWAP,SHORT,1756.71,0.1,0,0,0,0,1.317,0,SL
2026-07-13 18:01:13,OPEN_PAIR,BTC-USDT-SWAP,LONG,61947.7,0.01,377.246202437323,0.6090,62702.2,61570.5,0,0,
2026-07-13 18:01:13,OPEN_PAIR,ETH-USDT-SWAP,SHORT,1757.47,0.05,13.4461077776312,0.7651,1730.58,1770.92,0,0,
2026-07-13 18:04:39,OPEN_PAIR,BTC-USDT-SWAP,LONG,61944.9,0.01,377.859535770656,0.6100,62700.6,61567,0,0,
2026-07-13 18:04:39,OPEN_PAIR,ETH-USDT-SWAP,SHORT,1756.2,0.05,13.6821077776311,0.7791,1728.84,1769.88,0,0,
2026-07-13 19:34:13,CLOSE_ETH,ETH-USDT-SWAP,SHORT,1770.6,0.5,0,0,0,0,-7.20,0,SL
2026-07-13 21:11:09,CLOSE_BTC,BTC-USDT-SWAP,LONG,62090.2,1,0,0,0,0,145.2,0.23,TP
2026-07-13 21:11:12,OPEN_PAIR,BTC-USDT-SWAP,LONG,62090.3,0.01,340.261535886833,0.5480,62770.8,61750,0,0,
2026-07-13 21:11:13,OPEN_PAIR,ETH-USDT-SWAP,SHORT,1761.26,0.05,13.8070016029387,0.7839,1733.65,1775.07,0,0,
2026-07-13 23:50:50,CLOSE_ETH,ETH-USDT-SWAP,SHORT,1774.41,0.5,0,0,0,0,-6.575,-0.75,SL
2026-07-14 04:41:24,CLOSE_BTC,BTC-USDT-SWAP,LONG,62676.4,2,0,0,0,0,1317.50,1.06,TP
2026-07-14 05:15:45,OPEN_PAIR,BTC-USDT-SWAP,LONG,62781.4,0.01,308.724797436386,0.4917,63398.8,62472.7,0,0,
2026-07-14 05:15:46,OPEN_PAIR,ETH-USDT-SWAP,SHORT,1788.63,0.05,12.9903858499378,0.7263,1762.65,1801.62,0,0,
2026-07-14 07:47:00,CLOSE_BTC,BTC-USDT-SWAP,LONG,62481.3,1,0,0,0,0,-307.9,-0.49,SL
2026-07-14 08:34:47,CLOSE_ETH,ETH-USDT-SWAP,SHORT,1785.41,0.5,0,0,0,0,1.535,0.17,TP
2026-07-14 08:34:50,OPEN_PAIR,BTC-USDT-SWAP,LONG,62631,0.01,268.583932687141,0.4288,63168.2,62362.4,0,0,
2026-07-14 08:34:51,OPEN_PAIR,ETH-USDT-SWAP,SHORT,1785.23,0.05,11.1956029077687,0.6271,1762.84,1796.43,0,0,
2026-07-14 10:53:11,CLOSE_ETH,ETH-USDT-SWAP,SHORT,1796.9,0.5,0,0,0,0,-5.045,-0.56,SL
2026-07-14 12:30:06,CLOSE_BTC,BTC-USDT-SWAP,LONG,63153.5,1,0,0,0,0,528.4,0.84,TP
2026-07-14 12:30:09,OPEN_PAIR,BTC-USDT-SWAP,LONG,63195.3,0.01,281.639357219878,0.4457,63758.6,62913.7,0,0,
2026-07-14 12:30:09,OPEN_PAIR,ETH-USDT-SWAP,SHORT,1810.21,0.05,12.2258285438389,0.6754,1785.76,1822.44,0,0,
2026-07-14 12:32:35,CLOSE_ETH,ETH-USDT-SWAP,SHORT,1821.26,0.5,0,0,0,0,-5.930,-0.66,SL
2026-07-14 12:46:10,CLOSE_BTC,BTC-USDT-SWAP,LONG,63711.3,1,0,0,0,0,514.2,0.81,TP
