timestamp,event,instId,side,price,sz,dip_pct,tp,sl,pnl,pnl_pct,reason
2026-07-15 20:25:54,OPEN,EGLD-USDT-SWAP,LONG,3.17,31,-8.6719,3.265,3.122,0,0,
2026-07-15 20:26:10,OPEN,H-USDT-SWAP,LONG,0.0574,1.7,-15.3018,0.05912,0.05654,0,0,
2026-07-15 20:29:37,OPEN,EGLD-USDT-SWAP,LONG,3.15,31,-9.1696,3.244,3.103,0,0,
2026-07-15 20:29:55,OPEN,H-USDT-SWAP,LONG,0.0575,1.7,-15.3416,0.05922,0.05664,0,0,
2026-07-15 20:33:23,OPEN,EGLD-USDT-SWAP,LONG,3.154,31,-8.7384,3.249,3.107,0,0,
2026-07-15 20:34:17,OPEN,EGLD-USDT-SWAP,LONG,3.153,31,-8.6881,3.248,3.106,0,0,
2026-07-15 20:34:30,OPEN,H-USDT-SWAP,LONG,0.05786,1.7,-14.7362,0.0596,0.05699,0,0,
2026-07-15 20:37:21,OPEN,EGLD-USDT-SWAP,LONG,3.166,31,-8.4707,3.293,3.103,0,0,
2026-07-15 20:37:36,OPEN,H-USDT-SWAP,LONG,0.05801,1.7,-14.4143,0.06033,0.05685,0,0,
2026-07-15 20:59:14,OPEN,JTO-USDT-SWAP,LONG,0.6186,16,-5.1227,0.6433,0.6062,0,0,
2026-07-15 21:56:37,OPEN,ZRO-USDT-SWAP,LONG,0.8115,12,-5.4637,0.844,0.7953,0,0,
2026-07-15 23:24:52,OPEN,BCH-USDT-SWAP,LONG,223.7,0.4,-5.2119,228.2,221.5,0,0,
2026-07-15 23:55:52,OPEN,USELESS-USDT-SWAP,LONG,0.08105,12,-5.4480,0.08267,0.08024,0,0,
2026-07-16 00:24:02,CLOSE,BCH-USDT-SWAP,LONG,221.5,0.4,0,0,0,-0.88,-0.98,SL
2026-07-16 00:24:03,OPEN,BCH-USDT-SWAP,LONG,221.5,0.4,-5.9448,225.9,219.3,0,0,
2026-07-16 00:29:46,OPEN,ARB-USDT-SWAP,LONG,0.08756,11.4,-5.2176,0.08931,0.08668,0,0,
2026-07-16 00:45:19,OPEN,CVX-USDT-SWAP,LONG,1.267,7,-5.0936,1.292,1.254,0,0,
2026-07-16 01:03:15,OPEN,HMSTR-USDT-SWAP,LONG,0.0001846,541,-5.2848,0.0001883,0.0001828,0,0,
2026-07-16 01:20:46,CLOSE,AVAX-USDT-SWAP,LONG,6.671,1.4,0,0,0,0.0728,-0.77,SL
2026-07-16 01:23:51,CLOSE,EGLD-USDT-SWAP,LONG,3.292,31,0,0,0,3.906,3.98,TP
2026-07-16 01:36:19,CLOSE,USELESS-USDT-SWAP,LONG,0.08275,12,0,0,0,0.0206,2.12,TP
2026-07-16 02:18:12,OPEN,KAITO-USDT-SWAP,LONG,0.7475,13,-5.6663,0.7624,0.74,0,0,
2026-07-16 03:30:53,OPEN,USELESS-USDT-SWAP,LONG,0.0802,12,-5.7579,0.0818,0.0794,0,0,
2026-07-16 03:41:15,CLOSE,H-USDT-SWAP,LONG,0.05687,1.7,0,0,0,-0.0021,-2.09,SL
2026-07-16 03:41:16,OPEN,H-USDT-SWAP,LONG,0.05687,1.7,-15.3846,0.05801,0.0563,0,0,
2026-07-16 03:44:07,OPEN,H-USDT-SWAP,LONG,0.05644,1.7,-16.1741,0.05757,0.05588,0,0,
2026-07-16 03:45:01,CLOSE,USELESS-USDT-SWAP,LONG,0.07937,12,0,0,0,-0.0095,-0.99,SL
2026-07-16 03:45:02,OPEN,USELESS-USDT-SWAP,LONG,0.07931,12,-7.9930,0.0809,0.07852,0,0,
2026-07-16 03:50:40,CLOSE,USELESS-USDT-SWAP,LONG,0.07764,12,0,0,0,-0.0208,-2.18,SL
2026-07-16 03:50:41,OPEN,USELESS-USDT-SWAP,LONG,0.07764,12,-10.2635,0.07919,0.07686,0,0,
