"Index","Timestamp","Open","High","Low","Close","Volume","RSI6","RSI14","RSI30","FutureN","FutureReturn","FirstMove","BarsToHit","HitReturn"
"0","19-Oct-25 5:00:00 AM","0.18853","0.18894","0.1877","0.18893","84518.84",,,,"1","-0.0024347641983802903","Up","4","0.01"
"1","19-Oct-25 6:00:00 AM","0.18893","0.18899","0.18784","0.18847","60982.26",,,,"1","0.010824003820236738","Up","1","0.01"
"2","19-Oct-25 7:00:00 AM","0.18847","0.19069","0.18824","0.19051","157331.44",,,,"1","-0.002991811883266804","Up","7","0.01"
"3","19-Oct-25 8:00:00 AM","0.19052","0.19072","0.18935","0.18995","114038.22",,,,"1","0.00015794461408868976","Up","6","0.01"
"4","19-Oct-25 9:00:00 AM","0.18994","0.19112","0.18945","0.18997","162707.84",,,,"1","-0.005158709269884709","Up","5","0.01"
"5","19-Oct-25 10:00:00 AM","0.18997","0.19023","0.1885","0.18899","127078.13",,,,"1","-0.0013757341658288125","Up","2","0.01"
"6","19-Oct-25 11:00:00 AM","0.18899","0.18949","0.1881","0.18873","115994.78","47.6852",,,"1","-0.009220008478168618","Up","1","0.01"
"7","19-Oct-25 12:00:00 PM","0.18872","0.1909","0.18651","0.18698","619471.79","32.0872",,,"1","0.015135308589153906","Up","1","0.01"
"8","19-Oct-25 1:00:00 PM","0.18698","0.19181","0.18589","0.18981","754812.16","58.4572",,,"1","0.022916447160467923","Up","1","0.01"
"9","19-Oct-25 2:00:00 PM","0.18982","0.19676","0.18885","0.19417","805937.49","75.8171",,,"1","-0.004995879686856219","Up","3","0.01"
"10","19-Oct-25 3:00:00 PM","0.19416","0.1957","0.19258","0.19319","328189.84","68.1372",,,"1","0.0033128008696101663","Up","2","0.01"
"11","19-Oct-25 4:00:00 PM","0.19319","0.1939","0.19247","0.19383","170911.38","70.4805",,,"1","0.017128411494608642","Up","1","0.01"
"12","19-Oct-25 5:00:00 PM","0.19383","0.1979","0.19352","0.19715","403229.87","79.7509",,,"1","0.002789895505731943","Up","14","0.01"
"13","19-Oct-25 6:00:00 PM","0.19714","0.19799","0.19594","0.19769","410890.23","80.9203",,,"1","-0.0063233508700930585","Up","13","0.01"
"14","19-Oct-25 7:00:00 PM","0.19768","0.19797","0.19583","0.19643","245747.36","69.656","68.75",,"1","0.001934531385226368","Up","2","0.01"
"15","19-Oct-25 8:00:00 PM","0.19643","0.19756","0.19537","0.19681","243438.28","71.1114","69.3766",,"1","-0.0006605019815059121","Up","11","0.01"
"16","19-Oct-25 9:00:00 PM","0.19682","0.19853","0.19641","0.19669","381246.06","69.842","68.9067",,"1","0.0018810371123536562","Up","10","0.01"
"17","19-Oct-25 10:00:00 PM","0.1967","0.19751","0.19651","0.19707","117487.87","71.7577","69.6087",,"1","-0.0017759285569313166","Up","9","0.01"
"18","19-Oct-25 11:00:00 PM","0.19708","0.19711","0.19595","0.19673","108111.49","67.1761","68.1267",,"1","0.002592385502973693","Up","8","0.01"
"19","20-Oct-25 12:00:00 AM","0.19673","0.19748","0.19652","0.19724","94549.78","70.5596","69.1864",,"1","-0.004309252217997606","Up","7","0.01"
"20","20-Oct-25 1:00:00 AM","0.19725","0.19737","0.19552","0.1964","93224.58","58.6171","65.3335",,"1","0.002240439940933925","Up","6","0.01"
"21","20-Oct-25 2:00:00 AM","0.19639","0.19751","0.19617","0.19683","103057.04","62.5145","66.366",,"1","-0.007925621094345359","Up","5","0.01"
"22","20-Oct-25 3:00:00 AM","0.19683","0.19683","0.19472","0.19527","140833.01","44.3364","59.4478",,"1","-0.006042914938290456","Up","4","0.01"
"23","20-Oct-25 4:00:00 AM","0.19527","0.19527","0.19155","0.19409","460283.91","35.0779","54.7949",,"1","-0.0006182380216381844","Up","3","0.01"
"24","20-Oct-25 5:00:00 AM","0.1941","0.19493","0.1935","0.19398","212069.17","34.2771","54.3677",,"1","0.004433446747087233","Up","2","0.01"
"25","20-Oct-25 6:00:00 AM","0.19398","0.19562","0.19272","0.19484","238760.44","45.8695","57.1785",,"1","0.021864093615274083","Up","1","0.01"
"26","20-Oct-25 7:00:00 AM","0.19484","0.19995","0.19408","0.1991","400611.44","73.5749","67.7694",,"1","0.008638441062729152","Up","2","0.01"
"27","20-Oct-25 8:00:00 AM","0.19911","0.201","0.19911","0.20083","356904.33","78.8502","70.9154",,"1","0.0017924716191992651","Up","34","0.01"
"28","20-Oct-25 9:00:00 AM","0.20084","0.20171","0.2","0.2012","187499.85","79.881","71.5549",,"1","0.0030316584662790635","Up","33","0.01"
"29","20-Oct-25 10:00:00 AM","0.20121","0.20239","0.2007","0.20182","184092.72","81.6768","72.6405",,"1","-0.0033693390149637237","Up","33","0.01"
"30","20-Oct-25 11:00:00 AM","0.20182","0.20207","0.20062","0.20114","165316.47","73.0907","69.5073","67.7626","1","-0.003380561769823487","Up","31","0.01"
"31","20-Oct-25 12:00:00 PM","0.20115","0.2018","0.19964","0.20047","254537.62","65.0104","66.4654","66.4231","1","0.0025940337224383825","Up","30","0.01"
"32","20-Oct-25 1:00:00 PM","0.20046","0.20108","0.1998","0.20098","119031.75","68.2196","67.6268","66.9377","1","-0.002836103094835285","Up","29","0.01"
"33","20-Oct-25 2:00:00 PM","0.20098","0.20239","0.19971","0.20041","285953.41","60.747","64.9206","65.7722","1","-0.000748502994011857","Up","28","0.01"
"34","20-Oct-25 3:00:00 PM","0.2004","0.2005","0.19942","0.20025","160522.73","58.5854","64.1446","65.4413","1","0.0019475655430711836","Up","27","0.01"
"35","20-Oct-25 4:00:00 PM","0.20025","0.20092","0.19981","0.20064","119034.3","62.4896","65.2354","65.8742","1","0.004136968549070419","Up","26","0.01"
"36","20-Oct-25 5:00:00 PM","0.20063","0.20179","0.19981","0.20146","171182.75","69.6972","67.4757","66.7793","1","-0.001141609172581548","Up","26","0.01"
"37","20-Oct-25 6:00:00 PM","0.20147","0.20168","0.19947","0.20124","229984.51","65.6367","66.2423","66.2913","1","-0.009888690121248267","Up","24","0.01"
"38","20-Oct-25 7:00:00 PM","0.20124","0.20189","0.19913","0.19925","251429.06","40.2094","56.23","62.0485","1","-0.004667503136762896","Up","23","0.01"
"39","20-Oct-25 8:00:00 PM","0.19925","0.19992","0.19566","0.19832","823664.61","33.0329","52.255","60.1862","1","-0.0010589481115425015","Up","3","0.01"
"40","20-Oct-25 9:00:00 PM","0.19831","0.1992","0.19661","0.1981","248969","31.44","51.3305","59.7473","1","0.002675416456335178","Up","2","0.01"
"41","20-Oct-25 10:00:00 PM","0.1981","0.19874","0.19736","0.19863","138604.12","39.8282","53.4663","60.4657","1","0.004531037607612198","Up","3","0.01"
"42","20-Oct-25 11:00:00 PM","0.19863","0.20032","0.19769","0.19953","138638.42","51.8361","56.9232","61.6675","1","0.0017541221871397727","Up","19","0.01"
"43","21-Oct-25 12:00:00 AM","0.19953","0.20012","0.1989","0.19988","71935.41","55.9394","58.223","62.1306","1","-0.005653674888677629","Up","18","0.01"
"44","21-Oct-25 1:00:00 AM","0.19987","0.20069","0.19832","0.19874","66590.97","41.9654","52.6505","59.7003","1","0.007648183556405286","Up","17","0.01"
"45","21-Oct-25 2:00:00 AM","0.19874","0.20048","0.19841","0.20026","87093.85","58.5375","58.3715","61.7633","1","-0.0016977080940729916","Up","16","0.01"
"46","21-Oct-25 3:00:00 AM","0.20027","0.20034","0.19936","0.19993","75796.95","54.4842","56.7678","61.0613","1","0.0004501800720289051","Up","15","0.01"
"47","21-Oct-25 4:00:00 AM","0.19992","0.20068","0.19911","0.20001","90066.86","55.3829","57.0757","61.1719","1","-0.00909954502274879","Up","14","0.01"
"48","21-Oct-25 5:00:00 AM","0.20001","0.2001","0.19721","0.19819","226282.96","35.9849","48.5968","57.3365","1","-0.009586760179625675","Up","13","0.01"
"49","21-Oct-25 6:00:00 AM","0.19819","0.19831","0.19613","0.19629","268945.22","25.0107","41.6419","53.7003","1","0.0012226807274950957","Up","12","0.01"
