"Index","Timestamp","Open","High","Low","Close","Volume","RSI6","RSI14","RSI30","FutureN","FutureReturn","FirstMove","BarsToHit","HitReturn"
"0","19-Oct-25 5:00:00 AM","5.04","5.058","5.02","5.053","6922",,,,"1","-0.0019774569903106","Up","2","0.01"
"1","19-Oct-25 6:00:00 AM","5.057","5.074","5.036","5.047","6331",,,,"1","0.009514370664023719","Up","1","0.01"
"2","19-Oct-25 7:00:00 AM","5.045","5.104","5.04","5.093","16594",,,,"1","-0.006087981146897015","Up","7","0.01"
"3","19-Oct-25 8:00:00 AM","5.092","5.096","5.056","5.061","5753",,,,"1","-0.0041477384949634155","Up","4","0.01"
"4","19-Oct-25 9:00:00 AM","5.063","5.086","5.036","5.042","6937",,,,"1","-0.0037668517049959105","Up","3","0.01"
"5","19-Oct-25 10:00:00 AM","5.044","5.052","5.005","5.025","14950",,,,"1","0.004775169120573075","Up","2","0.01"
"6","19-Oct-25 11:00:00 AM","5.026","5.05","5.022","5.05","5790","48.9655",,,"1","-0.005740300870942239","Up","1","0.01"
"7","19-Oct-25 12:00:00 PM","5.052","5.122","5.015","5.023","61920","40.0225",,,"1","0.015332536837913135","Up","1","0.01"
"8","19-Oct-25 1:00:00 PM","5.022","5.137","4.995","5.099","56426","62.9061",,,"1","0.004508919819643076","Up","1","0.01"
"9","19-Oct-25 2:00:00 PM","5.101","5.162","5.068","5.124","36016","67.7615",,,"1","-0.0015612802498048417","Up","3","0.01"
"10","19-Oct-25 3:00:00 PM","5.124","5.164","5.101","5.116","30595","64.5186",,,"1","-0.002540551104162625","Up","2","0.01"
"11","19-Oct-25 4:00:00 PM","5.117","5.123","5.081","5.104","16880","59.4015",,,"1","0.012539184952978122","Up","1","0.01"
"12","19-Oct-25 5:00:00 PM","5.104","5.186","5.089","5.168","20796","73.0707",,,"1","0.0073515186689883105","Up","2","0.01"
"13","19-Oct-25 6:00:00 PM","5.169","5.213","5.14","5.207","29851","78.3909",,,"1","0.0038380349261177837","Up","3","0.01"
"14","19-Oct-25 7:00:00 PM","5.211","5.234","5.195","5.231","15907","81.1422","71.1905",,"1","0.001529051987767538","Up","2","0.01"
"15","19-Oct-25 8:00:00 PM","5.232","5.24","5.193","5.24","20907","82.164","71.8403",,"1","-0.003243655790879485","Up","1","0.01"
"16","19-Oct-25 9:00:00 PM","5.241","5.298","5.222","5.224","39264","73.6499","68.8663",,"1","0.0017224880382775698","Up","13","0.01"
"17","19-Oct-25 10:00:00 PM","5.225","5.246","5.215","5.234","15852","75.5501","69.7103",,"1","-0.0011463507833398001","Up","12","0.01"
"18","19-Oct-25 11:00:00 PM","5.234","5.235","5.21","5.228","7273","71.8211","68.5103",,"1","-0.0005739429883298008","Up","11","0.01"
"19","20-Oct-25 12:00:00 AM","5.227","5.233","5.206","5.224","8484","69.0928","67.6739",,"1","-0.004977029096477792","Up","10","0.01"
"20","20-Oct-25 1:00:00 AM","5.224","5.225","5.178","5.198","9533","53.3001","62.3459",,"1","0.0009615384615384581","Up","6","0.01"
"21","20-Oct-25 2:00:00 AM","5.2","5.22","5.199","5.205","9609","56.5116","63.1863",,"1","-0.007498557969621178","Up","5","0.01"
"22","20-Oct-25 3:00:00 AM","5.201","5.201","5.15","5.162","14741","37.5014","55.0576",,"1","-0.00581170089112748","Up","4","0.01"
"23","20-Oct-25 4:00:00 AM","5.162","5.163","5.074","5.132","26486","29.2606","50.205",,"1","-0.0023378141437755406","Up","3","0.01"
