"Index","Timestamp","Open","High","Low","Close","Volume","RSI6","RSI14","RSI30","FutureN","FutureReturn","FirstMove","BarsToHit","HitReturn"
"0","19-Oct-25 5:00:00 AM","0.0008399","0.000843","0.0008353","0.0008418","1461117",,,,"1","-0.003920171062009925","Up","7","0.01"
"1","19-Oct-25 6:00:00 AM","0.0008418","0.0008453","0.0008362","0.0008385","1588952",,,,"1","0.009660107334525936","Up","1","0.01"
"2","19-Oct-25 7:00:00 AM","0.0008385","0.0008492","0.0008367","0.0008466","1989885",,,,"1","-0.0036612731782214025","Up","7","0.01"
"3","19-Oct-25 8:00:00 AM","0.0008467","0.0008478","0.0008425","0.0008436","1332706",,,,"1","-0.0022525192649673897","Up","5","0.01"
"4","19-Oct-25 9:00:00 AM","0.0008435","0.0008476","0.0008396","0.0008416","1058423",,,,"1","-0.007248960190136655","Up","3","0.01"
"5","19-Oct-25 10:00:00 AM","0.0008415","0.0008429","0.0008331","0.0008354","976821",,,,"1","0.003830041891083047","Up","2","0.01"
"6","19-Oct-25 11:00:00 AM","0.0008355","0.0008394","0.0008345","0.0008387","1058992","44.0154",,,"1","-0.00727402814214162","Up","1","0.01"
"7","19-Oct-25 12:00:00 PM","0.0008386","0.0008519","0.000831","0.0008325","5437568","34.1932",,,"1","0.016816816816816793","Up","1","0.01"
"8","19-Oct-25 1:00:00 PM","0.0008325","0.0008539","0.0008258","0.0008465","5541322","58.9907",,,"1","0.011221356012284467","Up","1","0.01"
"9","19-Oct-25 2:00:00 PM","0.0008466","0.0008617","0.0008418","0.0008561","3346101","68.6969",,,"1","-0.0045555425768017965","Up","3","0.01"
"10","19-Oct-25 3:00:00 PM","0.0008561","0.0008638","0.000852","0.0008522","2384937","61.5904",,,"1","-0.001408120159587023","Up","2","0.01"
"11","19-Oct-25 4:00:00 PM","0.0008522","0.0008537","0.0008459","0.000851","2230353","59.3244",,,"1","0.016337564645040104","Up","1","0.01"
"12","19-Oct-25 5:00:00 PM","0.0008508","0.0008674","0.000849","0.0008647","2333993","72.9556",,,"1","0.0021975479990747893","Up","17","0.01"
