"Index","Timestamp","Open","High","Low","Close","Volume","RSI6","RSI14","RSI30","FutureN","FutureReturn","FirstMove","BarsToHit","HitReturn"
"0","19-Oct-25 5:00:00 AM","91","91.19","90.73","91.03","14429.1",,,,"1","0.004943425244424926","Up","2","0.01"
"1","19-Oct-25 6:00:00 AM","91.03","91.75","90.98","91.48","25203.8",,,,"1","0.007323204721827459","Up","1","0.01"
"2","19-Oct-25 7:00:00 AM","91.49","92.57","91.35","92.16","41270.5",,,,"1","-0.0033633503309102863","Up","7","0.01"
"3","19-Oct-25 8:00:00 AM","92.17","92.19","91.68","91.86","24851.5",,,,"1","0.005115924676172945","Up","6","0.01"
"4","19-Oct-25 9:00:00 AM","91.87","92.38","91.7","92.34","23627.3",,,,"1","-0.004223064428803491","Up","5","0.01"
"5","19-Oct-25 10:00:00 AM","92.35","92.57","91.73","91.96","39072.1",,,,"1","-0.001522235511579817","Up","4","0.01"
"6","19-Oct-25 11:00:00 AM","91.97","92.01","91.62","91.83","21009.9","66.5289",,,"1","-0.0071864111498257666","Up","2","0.01"
"7","19-Oct-25 12:00:00 PM","91.84","92.59","90.93","91.18","131977.2","50.3125",,,"1","0.011407261160469417","Up","1","0.01"
"8","19-Oct-25 1:00:00 PM","91.17","92.76","90.66","92.21","155288.8","66.0489",,,"1","0.010194122112569204","Up","1","0.01"
"9","19-Oct-25 2:00:00 PM","92.21","93.47","91.96","93.15","102168.4","74.792",,,"1","0.0022544283413847843","Up","3","0.01"
"10","19-Oct-25 3:00:00 PM","93.15","93.73","93.15","93.36","62456.2","76.4199",,,"1","0.001928020565552746","Up","2","0.01"
"11","19-Oct-25 4:00:00 PM","93.36","93.58","92.98","93.54","36548.8","77.8886",,,"1","0.0073765234124438805","Up","2","0.01"
"12","19-Oct-25 5:00:00 PM","93.54","94.47","92.83","94.23","65129.4","82.813",,,"1","0.0014855687606112333","Up","16","0.01"
"13","19-Oct-25 6:00:00 PM","94.24","94.58","93.71","94.38","74261.3","83.7567",,,"1","-0.0028610787326481812","Up","16","0.01"
"14","19-Oct-25 7:00:00 PM","94.37","94.44","93.93","94.1","29319.5","74.5834","73.4351",,"1","-0.0011690934211924242","Up","14","0.01"
"15","19-Oct-25 8:00:00 PM","94.09","94.3","93.63","93.98","35387.5","70.6064","72.0143",,"1","-0.0021278859453132126","Up","13","0.01"
"16","19-Oct-25 9:00:00 PM","93.99","94.75","93.69","93.79","73887.4","64.1111","69.7143",,"1","0.004584221748400896","Up","10","0.01"
"17","19-Oct-25 10:00:00 PM","93.8","94.29","93.77","94.23","29865.7","71.418","71.9486",,"1","-0.0014857264140931692","Up","11","0.01"
"18","19-Oct-25 11:00:00 PM","94.23","94.25","93.9","94.09","20076.4","66.2666","70.1747",,"1","0.0010626992561106885","Up","10","0.01"
"19","20-Oct-25 12:00:00 AM","94.1","94.25","93.98","94.2","15671.8","68.4147","70.7842",,"1","-0.004670912951167727","Up","9","0.01"
"20","20-Oct-25 1:00:00 AM","94.2","94.24","93.55","93.76","23347.8","52.3989","65.057",,"1","0.0024528100671856734","Up","6","0.01"
