🔄 2025-09-04 22:16:05 Баланс: 5000$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-04 22:19:07 Баланс: 4139.21851137433$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-04 22:23:06 Баланс: 3148.48781110611$ | PnL: 0.01488286 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-04 22:28:01 Баланс: 2709.13073068814$ | PnL: 1.46868818 💵 | Сделок: 48 | WinRate: 100%
🔄 2025-09-04 22:33:27 Баланс: 2612.53642261609$ | PnL: 6.13773759 💵 | Сделок: 183 | WinRate: 100%
🔄 2025-09-04 22:39:40 Баланс: 2624.70855194673$ | PnL: 9.12442468 💵 | Сделок: 274 | WinRate: 99.64%
🔄 2025-09-04 22:45:07 Баланс: 2604.80866483167$ | PnL: 9.25152482 💵 | Сделок: 275 | WinRate: 99.64%
🔄 2025-09-04 22:50:38 Баланс: 2605.09995376623$ | PnL: 9.56081128 💵 | Сделок: 277 | WinRate: 99.64%
🔄 2025-09-04 22:56:05 Баланс: 2595.09094451791$ | PnL: 9.56081128 💵 | Сделок: 277 | WinRate: 99.64%
🔄 2025-09-04 23:01:33 Баланс: 2595.1165741292$ | PnL: 9.59543956 💵 | Сделок: 278 | WinRate: 99.64%
🔄 2025-09-04 23:07:00 Баланс: 2605.06718100893$ | PnL: 9.55501448 💵 | Сделок: 280 | WinRate: 99.29%
