🔄 Новый цикл бота. Баланс: 1000$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 8.55270864981065$ | PnL: -28.84008165 💵 | Сделок: 182 | WinRate: 5.49%
🔄 Новый цикл бота. Баланс: 8.55270864981065$ | PnL: -28.84008165 💵 | Сделок: 182 | WinRate: 5.49%
🔄 Новый цикл бота. Баланс: 7.79335236812436$ | PnL: -29.58137792 💵 | Сделок: 184 | WinRate: 5.43%
🔄 Новый цикл бота. Баланс: 7.79335236812436$ | PnL: -29.58137792 💵 | Сделок: 184 | WinRate: 5.43%
🔄 Новый цикл бота. Баланс: 7.35999108433437$ | PnL: -30.00578001 💵 | Сделок: 185 | WinRate: 5.41%
🔄 Новый цикл бота. Баланс: 7.35999108433437$ | PnL: -30.00578001 💵 | Сделок: 185 | WinRate: 5.41%
🔄 Новый цикл бота. Баланс: 7.35999108433437$ | PnL: -30.00578001 💵 | Сделок: 185 | WinRate: 5.41%
🔄 Новый цикл бота. Баланс: 7.35999108433437$ | PnL: -30.00578001 💵 | Сделок: 185 | WinRate: 5.41%
🔄 Новый цикл бота. Баланс: 7.35999108433437$ | PnL: -30.00578001 💵 | Сделок: 185 | WinRate: 5.41%
🔄 Новый цикл бота. Баланс: 7.35999108433437$ | PnL: -30.00578001 💵 | Сделок: 185 | WinRate: 5.41%
🔄 Новый цикл бота. Баланс: 7.61708961033436$ | PnL: -29.77610785 💵 | Сделок: 186 | WinRate: 5.91%
🔄 Новый цикл бота. Баланс: 7.61708961033436$ | PnL: -29.77610785 💵 | Сделок: 186 | WinRate: 5.91%
🔄 Новый цикл бота. Баланс: 7.61708961033436$ | PnL: -29.77610785 💵 | Сделок: 186 | WinRate: 5.91%
🔄 Новый цикл бота. Баланс: 7.61708961033436$ | PnL: -29.77610785 💵 | Сделок: 186 | WinRate: 5.91%
🔄 Новый цикл бота. Баланс: 7.3523276693735$ | PnL: -30.0318687 💵 | Сделок: 187 | WinRate: 5.88%
🔄 Новый цикл бота. Баланс: 7.0044914728665$ | PnL: -30.3707013 💵 | Сделок: 188 | WinRate: 5.85%
🔄 Новый цикл бота. Баланс: 7.4526506823265$ | PnL: -29.9042314 💵 | Сделок: 190 | WinRate: 6.84%
🔄 Новый цикл бота. Баланс: 7.4526506823265$ | PnL: -29.9042314 💵 | Сделок: 190 | WinRate: 6.84%
🔄 Новый цикл бота. Баланс: 7.4526506823265$ | PnL: -29.9042314 💵 | Сделок: 190 | WinRate: 6.84%
🔄 Новый цикл бота. Баланс: 7.0338796434425$ | PnL: -30.31400922 💵 | Сделок: 191 | WinRate: 6.81%
🔄 Новый цикл бота. Баланс: 7.2409398935645$ | PnL: -30.07936051 💵 | Сделок: 194 | WinRate: 7.73%
🔄 Новый цикл бота. Баланс: 7.2409398935645$ | PnL: -30.07936051 💵 | Сделок: 194 | WinRate: 7.73%
🔄 Новый цикл бота. Баланс: 7.4187805880605$ | PnL: -29.89252001 💵 | Сделок: 195 | WinRate: 8.21%
🔄 Новый цикл бота. Баланс: 7.1741982825605$ | PnL: -30.12758668 💵 | Сделок: 196 | WinRate: 8.16%
🔄 Новый цикл бота. Баланс: 7.1741982825605$ | PnL: -30.12758668 💵 | Сделок: 196 | WinRate: 8.16%
🔄 Новый цикл бота. Баланс: 6.9406459942405$ | PnL: -30.35007775 💵 | Сделок: 198 | WinRate: 8.59%
🔄 Новый цикл бота. Баланс: 6.9406459942405$ | PnL: -30.35007775 💵 | Сделок: 198 | WinRate: 8.59%
🔄 Новый цикл бота. Баланс: 6.9406459942405$ | PnL: -30.35007775 💵 | Сделок: 198 | WinRate: 8.59%
🔄 Новый цикл бота. Баланс: 6.9406459942405$ | PnL: -30.35007775 💵 | Сделок: 198 | WinRate: 8.59%
🔄 Новый цикл бота. Баланс: 6.9406459942405$ | PnL: -30.35007775 💵 | Сделок: 198 | WinRate: 8.59%
🔄 Новый цикл бота. Баланс: 7.4928734342514$ | PnL: -29.78885741 💵 | Сделок: 199 | WinRate: 9.05%
🔄 Новый цикл бота. Баланс: 7.6571691261234$ | PnL: -29.61554964 💵 | Сделок: 200 | WinRate: 9.5%
🔄 Новый цикл бота. Баланс: 7.8666290788694$ | PnL: -29.39707458 💵 | Сделок: 201 | WinRate: 9.95%
🔄 Новый цикл бота. Баланс: 8.36456898225186$ | PnL: -28.88115221 💵 | Сделок: 203 | WinRate: 10.84%
🔄 Новый цикл бота. Баланс: 8.36456898225186$ | PnL: -28.88115221 💵 | Сделок: 203 | WinRate: 10.84%
🔄 Новый цикл бота. Баланс: 8.36456898225186$ | PnL: -28.88115221 💵 | Сделок: 203 | WinRate: 10.84%
🔄 Новый цикл бота. Баланс: 8.36456898225186$ | PnL: -28.88115221 💵 | Сделок: 203 | WinRate: 10.84%
🔄 Новый цикл бота. Баланс: 8.36456898225186$ | PnL: -28.88115221 💵 | Сделок: 203 | WinRate: 10.84%
🔄 Новый цикл бота. Баланс: 8.36456898225186$ | PnL: -28.88115221 💵 | Сделок: 203 | WinRate: 10.84%
🔄 Новый цикл бота. Баланс: 8.36456898225186$ | PnL: -28.88115221 💵 | Сделок: 203 | WinRate: 10.84%
🔄 Новый цикл бота. Баланс: 8.36456898225186$ | PnL: -28.88115221 💵 | Сделок: 203 | WinRate: 10.84%
🔄 Новый цикл бота. Баланс: 8.36456898225186$ | PnL: -28.88115221 💵 | Сделок: 203 | WinRate: 10.84%
🔄 Новый цикл бота. Баланс: 8.36456898225186$ | PnL: -28.88115221 💵 | Сделок: 203 | WinRate: 10.84%
🔄 Новый цикл бота. Баланс: 8.36456898225186$ | PnL: -28.88115221 💵 | Сделок: 203 | WinRate: 10.84%
🔄 Новый цикл бота. Баланс: 8.36456898225186$ | PnL: -28.88115221 💵 | Сделок: 203 | WinRate: 10.84%
🔄 Новый цикл бота. Баланс: 8.36456898225186$ | PnL: -28.88115221 💵 | Сделок: 203 | WinRate: 10.84%
🔄 Новый цикл бота. Баланс: 8.36456898225186$ | PnL: -28.88115221 💵 | Сделок: 203 | WinRate: 10.84%
🔄 Новый цикл бота. Баланс: 8.36456898225186$ | PnL: -28.88115221 💵 | Сделок: 203 | WinRate: 10.84%
🔄 Новый цикл бота. Баланс: 7.90939327161185$ | PnL: -29.32700807 💵 | Сделок: 204 | WinRate: 10.78%
🔄 Новый цикл бота. Баланс: 7.90939327161185$ | PnL: -29.32700807 💵 | Сделок: 204 | WinRate: 10.78%
🔄 Новый цикл бота. Баланс: 7.90939327161185$ | PnL: -29.32700807 💵 | Сделок: 204 | WinRate: 10.78%
🔄 Новый цикл бота. Баланс: 7.90939327161185$ | PnL: -29.32700807 💵 | Сделок: 204 | WinRate: 10.78%
🔄 Новый цикл бота. Баланс: 8.22850760352274$ | PnL: -28.98990068 💵 | Сделок: 206 | WinRate: 11.65%
🔄 Новый цикл бота. Баланс: 18.4511053735227$ | PnL: -28.76730522 💵 | Сделок: 207 | WinRate: 12.08%
🔄 Новый цикл бота. Баланс: 8.02596765476274$ | PnL: -29.17453758 💵 | Сделок: 208 | WinRate: 12.02%
🔄 Новый цикл бота. Баланс: 7.95085369982575$ | PnL: -29.19944069 💵 | Сделок: 212 | WinRate: 13.21%
🔄 Новый цикл бота. Баланс: 7.95085369982575$ | PnL: -29.19944069 💵 | Сделок: 212 | WinRate: 13.21%
🔄 Новый цикл бота. Баланс: 7.95085369982575$ | PnL: -29.19944069 💵 | Сделок: 212 | WinRate: 13.21%
🔄 Новый цикл бота. Баланс: 7.95085369982575$ | PnL: -29.19944069 💵 | Сделок: 212 | WinRate: 13.21%
🔄 Новый цикл бота. Баланс: 8.45273324822775$ | PnL: -28.67053168 💵 | Сделок: 215 | WinRate: 14.42%
🔄 Новый цикл бота. Баланс: 8.71441074042475$ | PnL: -28.39934551 💵 | Сделок: 216 | WinRate: 14.81%
🔄 Новый цикл бота. Баланс: 19.4173334830386$ | PnL: -27.66930981 💵 | Сделок: 220 | WinRate: 16.36%
🔄 Новый цикл бота. Баланс: 9.92697083371595$ | PnL: -27.12366731 💵 | Сделок: 223 | WinRate: 17.49%
🔄 Новый цикл бота. Баланс: 9.92697083371595$ | PnL: -27.12366731 💵 | Сделок: 223 | WinRate: 17.49%
🔄 Новый цикл бота. Баланс: 9.92697083371595$ | PnL: -27.12366731 💵 | Сделок: 223 | WinRate: 17.49%
🔄 Новый цикл бота. Баланс: 9.92697083371595$ | PnL: -27.12366731 💵 | Сделок: 223 | WinRate: 17.49%
🔄 Новый цикл бота. Баланс: 9.92697083371595$ | PnL: -27.12366731 💵 | Сделок: 223 | WinRate: 17.49%
🔄 Новый цикл бота. Баланс: 9.92697083371595$ | PnL: -27.12366731 💵 | Сделок: 223 | WinRate: 17.49%
🔄 Новый цикл бота. Баланс: 9.92697083371595$ | PnL: -27.12366731 💵 | Сделок: 223 | WinRate: 17.49%
🔄 Новый цикл бота. Баланс: 9.92697083371595$ | PnL: -27.12366731 💵 | Сделок: 223 | WinRate: 17.49%
🔄 Новый цикл бота. Баланс: 0.214044102933952$ | PnL: -26.81860715 💵 | Сделок: 224 | WinRate: 17.86%
🔄 Новый цикл бота. Баланс: 0.214044102933952$ | PnL: -26.81860715 💵 | Сделок: 224 | WinRate: 17.86%
🔄 Новый цикл бота. Баланс: 0.709171090182656$ | PnL: -26.29602143 💵 | Сделок: 227 | WinRate: 18.94%
🔄 Новый цикл бота. Баланс: 1.78092912356186$ | PnL: -25.16105894 💵 | Сделок: 234 | WinRate: 21.37%
🔄 Новый цикл бота. Баланс: 1.94237754271396$ | PnL: -24.99061057 💵 | Сделок: 235 | WinRate: 21.7%
🔄 Новый цикл бота. Баланс: 1.94237754271396$ | PnL: -24.99061057 💵 | Сделок: 235 | WinRate: 21.7%
🔄 Новый цикл бота. Баланс: 1.94237754271396$ | PnL: -24.99061057 💵 | Сделок: 235 | WinRate: 21.7%
🔄 Новый цикл бота. Баланс: 12.2436358952888$ | PnL: -24.68034611 💵 | Сделок: 237 | WinRate: 22.36%
🔄 Новый цикл бота. Баланс: 2.23463587927436$ | PnL: -24.68034611 💵 | Сделок: 237 | WinRate: 22.36%
🔄 Новый цикл бота. Баланс: 2.23463587927436$ | PnL: -24.68034611 💵 | Сделок: 237 | WinRate: 22.36%
🔄 Новый цикл бота. Баланс: 2.00287918679366$ | PnL: -24.90316258 💵 | Сделок: 238 | WinRate: 22.27%
🔄 Новый цикл бота. Баланс: 2.24052863786366$ | PnL: -24.65661553 💵 | Сделок: 239 | WinRate: 22.59%
🔄 Новый цикл бота. Баланс: 2.24052863786366$ | PnL: -24.65661553 💵 | Сделок: 239 | WinRate: 22.59%
🔄 Новый цикл бота. Баланс: 2.24052863786366$ | PnL: -24.65661553 💵 | Сделок: 239 | WinRate: 22.59%
🔄 Новый цикл бота. Баланс: 12.0478241080832$ | PnL: -24.84033012 💵 | Сделок: 241 | WinRate: 22.82%
🔄 Новый цикл бота. Баланс: 2.03882268180067$ | PnL: -24.84033012 💵 | Сделок: 241 | WinRate: 22.82%
🔄 Новый цикл бота. Баланс: 2.03882268180067$ | PnL: -24.84033012 💵 | Сделок: 241 | WinRate: 22.82%
🔄 Новый цикл бота. Баланс: 2.28472572734066$ | PnL: -24.58543707 💵 | Сделок: 242 | WinRate: 23.14%
🔄 Новый цикл бота. Баланс: 2.28472572734066$ | PnL: -24.58543707 💵 | Сделок: 242 | WinRate: 23.14%
🔄 Новый цикл бота. Баланс: 2.28472572734066$ | PnL: -24.58543707 💵 | Сделок: 242 | WinRate: 23.14%
🔄 Новый цикл бота. Баланс: 2.96840042293637$ | PnL: -23.77330839 💵 | Сделок: 246 | WinRate: 24.39%
🔄 Новый цикл бота. Баланс: 5.79046375759068$ | PnL: -20.87022854 💵 | Сделок: 255 | WinRate: 27.06%
🔄 Новый цикл бота. Баланс: 7.235321093943$ | PnL: -19.36318614 💵 | Сделок: 262 | WinRate: 29.01%
🔄 Новый цикл бота. Баланс: 7.235321093943$ | PnL: -19.36318614 💵 | Сделок: 262 | WinRate: 29.01%
🔄 Новый цикл бота. Баланс: 7.235321093943$ | PnL: -19.36318614 💵 | Сделок: 262 | WinRate: 29.01%
🔄 Новый цикл бота. Баланс: 7.235321093943$ | PnL: -19.36318614 💵 | Сделок: 262 | WinRate: 29.01%
🔄 Новый цикл бота. Баланс: 7.416247350549$ | PnL: -19.17305323 💵 | Сделок: 263 | WinRate: 29.28%
🔄 Новый цикл бота. Баланс: 7.8769711559407$ | PnL: -18.68585614 💵 | Сделок: 266 | WinRate: 30.08%
🔄 Новый цикл бота. Баланс: 7.8769711559407$ | PnL: -18.68585614 💵 | Сделок: 266 | WinRate: 30.08%
🔄 Новый цикл бота. Баланс: 7.8769711559407$ | PnL: -18.68585614 💵 | Сделок: 266 | WinRate: 30.08%
🔄 Новый цикл бота. Баланс: 7.8769711559407$ | PnL: -18.68585614 💵 | Сделок: 266 | WinRate: 30.08%
🔄 Новый цикл бота. Баланс: 7.8769711559407$ | PnL: -18.68585614 💵 | Сделок: 266 | WinRate: 30.08%
🔄 Новый цикл бота. Баланс: 7.8769711559407$ | PnL: -18.68585614 💵 | Сделок: 266 | WinRate: 30.08%
