🔄 Новый цикл бота. Баланс: 1000$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 9.08784923301944$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 9.08784923301944$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 9.08784923301944$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 9.08784923301944$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 8.63369402650764$ | PnL: -0.43620738 💵 | Сделок: 2 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 8.63369402650764$ | PnL: -0.43620738 💵 | Сделок: 2 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 8.63369402650764$ | PnL: -0.43620738 💵 | Сделок: 2 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 8.63369402650764$ | PnL: -0.43620738 💵 | Сделок: 2 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 8.49994570703812$ | PnL: -0.5851157 💵 | Сделок: 3 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 7.8039302966203$ | PnL: -1.24555924 💵 | Сделок: 6 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 5.33942504175215$ | PnL: -3.62194727 💵 | Сделок: 16 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 5.33942504175215$ | PnL: -3.62194727 💵 | Сделок: 16 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 5.33942504175215$ | PnL: -3.62194727 💵 | Сделок: 16 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 5.33942504175215$ | PnL: -3.62194727 💵 | Сделок: 16 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 4.44077244475457$ | PnL: -4.48439906 💵 | Сделок: 20 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 7.85430608285809$ | PnL: -10.82760213 💵 | Сделок: 47 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 209.996244840309$ | PnL: -18.47925689 💵 | Сделок: 79 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 138.945898661229$ | PnL: -19.43059503 💵 | Сделок: 83 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 235.827660939552$ | PnL: -22.52393781 💵 | Сделок: 95 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 215.809541432092$ | PnL: -22.52393781 💵 | Сделок: 95 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 205.800527659708$ | PnL: -22.52393781 💵 | Сделок: 95 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 205.434701078468$ | PnL: -22.88076437 💵 | Сделок: 96 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 215.079480744468$ | PnL: -23.23598478 💵 | Сделок: 97 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 215.079480744468$ | PnL: -23.23598478 💵 | Сделок: 97 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 224.778958055468$ | PnL: -23.53650835 💵 | Сделок: 98 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 235.312899315468$ | PnL: -23.00256787 💵 | Сделок: 99 | WinRate: 1.01%
🔄 Новый цикл бота. Баланс: 224.917314277671$ | PnL: -23.3801446 💵 | Сделок: 100 | WinRate: 1%
🔄 Новый цикл бота. Баланс: 224.917314277671$ | PnL: -23.3801446 💵 | Сделок: 100 | WinRate: 1%
🔄 Новый цикл бота. Баланс: 233.984854186283$ | PnL: -24.29468293 💵 | Сделок: 103 | WinRate: 0.97%
🔄 Новый цикл бота. Баланс: 243.451926631991$ | PnL: -24.81863346 💵 | Сделок: 105 | WinRate: 0.95%
🔄 Новый цикл бота. Баланс: 282.3879048395$ | PnL: -25.86484089 💵 | Сделок: 111 | WinRate: 1.8%
🔄 Новый цикл бота. Баланс: 281.822537847701$ | PnL: -26.41232866 💵 | Сделок: 113 | WinRate: 1.77%
🔄 Новый цикл бота. Баланс: 271.813537767629$ | PnL: -26.41232866 💵 | Сделок: 113 | WinRate: 1.77%
🔄 Новый цикл бота. Баланс: 271.813537767629$ | PnL: -26.41232866 💵 | Сделок: 113 | WinRate: 1.77%
🔄 Новый цикл бота. Баланс: 281.537125517629$ | PnL: -26.68873941 💵 | Сделок: 114 | WinRate: 1.75%
🔄 Новый цикл бота. Баланс: 281.537125517629$ | PnL: -26.68873941 💵 | Сделок: 114 | WinRate: 1.75%
🔄 Новый цикл бота. Баланс: 291.512439181168$ | PnL: -26.70443193 💵 | Сделок: 116 | WinRate: 2.59%
🔄 Новый цикл бота. Баланс: 271.49444554489$ | PnL: -26.70443193 💵 | Сделок: 116 | WinRate: 2.59%
🔄 Новый цикл бота. Баланс: 261.48544436583$ | PnL: -26.70443193 💵 | Сделок: 116 | WinRate: 2.59%
🔄 Новый цикл бота. Баланс: 261.48544436583$ | PnL: -26.70443193 💵 | Сделок: 116 | WinRate: 2.59%
🔄 Новый цикл бота. Баланс: 261.48544436583$ | PnL: -26.70443193 💵 | Сделок: 116 | WinRate: 2.59%
🔄 Новый цикл бота. Баланс: 261.48544436583$ | PnL: -26.70443193 💵 | Сделок: 116 | WinRate: 2.59%
🔄 Новый цикл бота. Баланс: 241.47144716511$ | PnL: -26.70443193 💵 | Сделок: 116 | WinRate: 2.59%
🔄 Новый цикл бота. Баланс: 241.47144716511$ | PnL: -26.70443193 💵 | Сделок: 116 | WinRate: 2.59%
🔄 Новый цикл бота. Баланс: 241.47144716511$ | PnL: -26.70443193 💵 | Сделок: 116 | WinRate: 2.59%
🔄 Новый цикл бота. Баланс: 241.47144716511$ | PnL: -26.70443193 💵 | Сделок: 116 | WinRate: 2.59%
🔄 Новый цикл бота. Баланс: 231.462416057138$ | PnL: -26.70443193 💵 | Сделок: 116 | WinRate: 2.59%
🔄 Новый цикл бота. Баланс: 221.45340501621$ | PnL: -26.70443193 💵 | Сделок: 116 | WinRate: 2.59%
🔄 Новый цикл бота. Баланс: 220.969144084365$ | PnL: -27.17964633 💵 | Сделок: 117 | WinRate: 2.56%
🔄 Новый цикл бота. Баланс: 221.284198416304$ | PnL: -26.85558524 💵 | Сделок: 118 | WinRate: 3.39%
🔄 Новый цикл бота. Баланс: 191.256047661556$ | PnL: -26.85558524 💵 | Сделок: 118 | WinRate: 3.39%
🔄 Новый цикл бота. Баланс: 191.256047661556$ | PnL: -26.85558524 💵 | Сделок: 118 | WinRate: 3.39%
🔄 Новый цикл бота. Баланс: 200.763856881556$ | PnL: -27.34777807 💵 | Сделок: 119 | WinRate: 3.36%
🔄 Новый цикл бота. Баланс: 210.261563537856$ | PnL: -27.85007159 💵 | Сделок: 120 | WinRate: 3.33%
🔄 Новый цикл бота. Баланс: 190.885877319165$ | PnL: -27.1986024 💵 | Сделок: 121 | WinRate: 4.13%
🔄 Новый цикл бота. Баланс: 180.876876398337$ | PnL: -27.1986024 💵 | Сделок: 121 | WinRate: 4.13%
🔄 Новый цикл бота. Баланс: 180.876876398337$ | PnL: -27.1986024 💵 | Сделок: 121 | WinRate: 4.13%
🔄 Новый цикл бота. Баланс: 199.907098786337$ | PnL: -28.16837921 💵 | Сделок: 123 | WinRate: 4.07%
🔄 Новый цикл бота. Баланс: 199.907098786337$ | PnL: -28.16837921 💵 | Сделок: 123 | WinRate: 4.07%
🔄 Новый цикл бота. Баланс: 169.950750571767$ | PnL: -28.16837921 💵 | Сделок: 123 | WinRate: 4.07%
🔄 Новый цикл бота. Баланс: 149.932743164771$ | PnL: -28.16837921 💵 | Сделок: 123 | WinRate: 4.07%
🔄 Новый цикл бота. Баланс: 119.563888625724$ | PnL: -28.50115006 💵 | Сделок: 124 | WinRate: 4.03%
🔄 Новый цикл бота. Баланс: 69.5188916013995$ | PnL: -28.50115006 💵 | Сделок: 124 | WinRate: 4.03%
🔄 Новый цикл бота. Баланс: 69.5188916013995$ | PnL: -28.50115006 💵 | Сделок: 124 | WinRate: 4.03%
🔄 Новый цикл бота. Баланс: 69.5188916013995$ | PnL: -28.50115006 💵 | Сделок: 124 | WinRate: 4.03%
🔄 Новый цикл бота. Баланс: 69.5188916013995$ | PnL: -28.50115006 💵 | Сделок: 124 | WinRate: 4.03%
🔄 Новый цикл бота. Баланс: 79.7189355113995$ | PnL: -28.29711815 💵 | Сделок: 125 | WinRate: 4.8%
🔄 Новый цикл бота. Баланс: 69.7103238605995$ | PnL: -28.29711815 💵 | Сделок: 125 | WinRate: 4.8%
🔄 Новый цикл бота. Баланс: 69.7103238605995$ | PnL: -28.29711815 💵 | Сделок: 125 | WinRate: 4.8%
🔄 Новый цикл бота. Баланс: 69.7103238605995$ | PnL: -28.29711815 💵 | Сделок: 125 | WinRate: 4.8%
🔄 Новый цикл бота. Баланс: 69.7103238605995$ | PnL: -28.29711815 💵 | Сделок: 125 | WinRate: 4.8%
🔄 Новый цикл бота. Баланс: 69.7103238605995$ | PnL: -28.29711815 💵 | Сделок: 125 | WinRate: 4.8%
🔄 Новый цикл бота. Баланс: 69.7103238605995$ | PnL: -28.29711815 💵 | Сделок: 125 | WinRate: 4.8%
🔄 Новый цикл бота. Баланс: 69.7103238605995$ | PnL: -28.29711815 💵 | Сделок: 125 | WinRate: 4.8%
🔄 Новый цикл бота. Баланс: 69.7103238605995$ | PnL: -28.29711815 💵 | Сделок: 125 | WinRate: 4.8%
🔄 Новый цикл бота. Баланс: 79.9804649705995$ | PnL: -28.02697628 💵 | Сделок: 126 | WinRate: 5.56%
🔄 Новый цикл бота. Баланс: 80.2877115969668$ | PnL: -27.71076135 💵 | Сделок: 127 | WinRate: 6.3%
🔄 Новый цикл бота. Баланс: 89.2918771942588$ | PnL: -28.69803274 💵 | Сделок: 129 | WinRate: 6.2%
🔄 Новый цикл бота. Баланс: 89.0802299969989$ | PnL: -28.8915283 💵 | Сделок: 131 | WinRate: 6.87%
🔄 Новый цикл бота. Баланс: 89.7661232049126$ | PnL: -28.18764435 💵 | Сделок: 133 | WinRate: 8.27%
🔄 Новый цикл бота. Баланс: 79.7571248063526$ | PnL: -28.18764435 💵 | Сделок: 133 | WinRate: 8.27%
🔄 Новый цикл бота. Баланс: 79.7571248063526$ | PnL: -28.18764435 💵 | Сделок: 133 | WinRate: 8.27%
🔄 Новый цикл бота. Баланс: 79.7571248063526$ | PnL: -28.18764435 💵 | Сделок: 133 | WinRate: 8.27%
🔄 Новый цикл бота. Баланс: 79.7571248063526$ | PnL: -28.18764435 💵 | Сделок: 133 | WinRate: 8.27%
🔄 Новый цикл бота. Баланс: 80.4010241369314$ | PnL: -27.52573722 💵 | Сделок: 135 | WinRate: 9.63%
🔄 Новый цикл бота. Баланс: 60.3830329568622$ | PnL: -27.52573722 💵 | Сделок: 135 | WinRate: 9.63%
🔄 Новый цикл бота. Баланс: 60.3830329568622$ | PnL: -27.52573722 💵 | Сделок: 135 | WinRate: 9.63%
🔄 Новый цикл бота. Баланс: 0.328797024714216$ | PnL: -27.52573722 💵 | Сделок: 135 | WinRate: 9.63%
🔄 Новый цикл бота. Баланс: 0.328797024714216$ | PnL: -27.52573722 💵 | Сделок: 135 | WinRate: 9.63%
🔄 Новый цикл бота. Баланс: 0.328797024714216$ | PnL: -27.52573722 💵 | Сделок: 135 | WinRate: 9.63%
🔄 Новый цикл бота. Баланс: 0.328797024714216$ | PnL: -27.52573722 💵 | Сделок: 135 | WinRate: 9.63%
🔄 Новый цикл бота. Баланс: 0.328797024714216$ | PnL: -27.52573722 💵 | Сделок: 135 | WinRate: 9.63%
🔄 Новый цикл бота. Баланс: 0.328797024714216$ | PnL: -27.52573722 💵 | Сделок: 135 | WinRate: 9.63%
🔄 Новый цикл бота. Баланс: 0.328797024714216$ | PnL: -27.52573722 💵 | Сделок: 135 | WinRate: 9.63%
🔄 Новый цикл бота. Баланс: 0.531453600314217$ | PnL: -27.31408823 💵 | Сделок: 136 | WinRate: 10.29%
🔄 Новый цикл бота. Баланс: 0.531453600314217$ | PnL: -27.31408823 💵 | Сделок: 136 | WinRate: 10.29%
🔄 Новый цикл бота. Баланс: 0.531453600314217$ | PnL: -27.31408823 💵 | Сделок: 136 | WinRate: 10.29%
🔄 Новый цикл бота. Баланс: 0.737665142061219$ | PnL: -27.09886759 💵 | Сделок: 137 | WinRate: 10.95%
🔄 Новый цикл бота. Баланс: 1.20804854839022$ | PnL: -26.61061718 💵 | Сделок: 139 | WinRate: 12.23%
🔄 Новый цикл бота. Баланс: 1.75908467960062$ | PnL: -26.03152803 💵 | Сделок: 142 | WinRate: 13.38%
🔄 Новый цикл бота. Баланс: 1.78724857088102$ | PnL: -25.97628178 💵 | Сделок: 145 | WinRate: 14.48%
🔄 Новый цикл бота. Баланс: 1.78724857088102$ | PnL: -25.97628178 💵 | Сделок: 145 | WinRate: 14.48%
🔄 Новый цикл бота. Баланс: 1.78724857088102$ | PnL: -25.97628178 💵 | Сделок: 145 | WinRate: 14.48%
🔄 Новый цикл бота. Баланс: 1.78724857088102$ | PnL: -25.97628178 💵 | Сделок: 145 | WinRate: 14.48%
🔄 Новый цикл бота. Баланс: 1.78724857088102$ | PnL: -25.97628178 💵 | Сделок: 145 | WinRate: 14.48%
🔄 Новый цикл бота. Баланс: 2.08395236252902$ | PnL: -25.67057067 💵 | Сделок: 146 | WinRate: 15.07%
🔄 Новый цикл бота. Баланс: 2.08395236252902$ | PnL: -25.67057067 💵 | Сделок: 146 | WinRate: 15.07%
🔄 Новый цикл бота. Баланс: 2.08395236252902$ | PnL: -25.67057067 💵 | Сделок: 146 | WinRate: 15.07%
🔄 Новый цикл бота. Баланс: 2.08395236252902$ | PnL: -25.67057067 💵 | Сделок: 146 | WinRate: 15.07%
🔄 Новый цикл бота. Баланс: 2.08395236252902$ | PnL: -25.67057067 💵 | Сделок: 146 | WinRate: 15.07%
🔄 Новый цикл бота. Баланс: 2.08395236252902$ | PnL: -25.67057067 💵 | Сделок: 146 | WinRate: 15.07%
🔄 Новый цикл бота. Баланс: 2.33108334078464$ | PnL: -25.41444005 💵 | Сделок: 147 | WinRate: 15.65%
🔄 Новый цикл бота. Баланс: 2.33108334078464$ | PnL: -25.41444005 💵 | Сделок: 147 | WinRate: 15.65%
🔄 Новый цикл бота. Баланс: 2.33108334078464$ | PnL: -25.41444005 💵 | Сделок: 147 | WinRate: 15.65%
🔄 Новый цикл бота. Баланс: 2.33108334078464$ | PnL: -25.41444005 💵 | Сделок: 147 | WinRate: 15.65%
🔄 Новый цикл бота. Баланс: 2.33108334078464$ | PnL: -25.41444005 💵 | Сделок: 147 | WinRate: 15.65%
🔄 Новый цикл бота. Баланс: 2.33108334078464$ | PnL: -25.41444005 💵 | Сделок: 147 | WinRate: 15.65%
🔄 Новый цикл бота. Баланс: 2.33108334078464$ | PnL: -25.41444005 💵 | Сделок: 147 | WinRate: 15.65%
🔄 Новый цикл бота. Баланс: 2.33108334078464$ | PnL: -25.41444005 💵 | Сделок: 147 | WinRate: 15.65%
🔄 Новый цикл бота. Баланс: 2.68082069005044$ | PnL: -25.05568846 💵 | Сделок: 148 | WinRate: 16.22%
🔄 Новый цикл бота. Баланс: 3.47914676025044$ | PnL: -24.23039069 💵 | Сделок: 151 | WinRate: 17.88%
🔄 Новый цикл бота. Баланс: 3.47914676025044$ | PnL: -24.23039069 💵 | Сделок: 151 | WinRate: 17.88%
🔄 Новый цикл бота. Баланс: 3.47914676025044$ | PnL: -24.23039069 💵 | Сделок: 151 | WinRate: 17.88%
🔄 Новый цикл бота. Баланс: 3.47914676025044$ | PnL: -24.23039069 💵 | Сделок: 151 | WinRate: 17.88%
🔄 Новый цикл бота. Баланс: 3.47914676025044$ | PnL: -24.23039069 💵 | Сделок: 151 | WinRate: 17.88%
🔄 Новый цикл бота. Баланс: 3.47914676025044$ | PnL: -24.23039069 💵 | Сделок: 151 | WinRate: 17.88%
🔄 Новый цикл бота. Баланс: 3.47914676025044$ | PnL: -24.23039069 💵 | Сделок: 151 | WinRate: 17.88%
🔄 Новый цикл бота. Баланс: 3.47914676025044$ | PnL: -24.23039069 💵 | Сделок: 151 | WinRate: 17.88%
🔄 Новый цикл бота. Баланс: 3.47914676025044$ | PnL: -24.23039069 💵 | Сделок: 151 | WinRate: 17.88%
🔄 Новый цикл бота. Баланс: 3.77599199884044$ | PnL: -23.92436289 💵 | Сделок: 152 | WinRate: 18.42%
🔄 Новый цикл бота. Баланс: 4.6941876113629$ | PnL: -22.97893581 💵 | Сделок: 155 | WinRate: 20%
