"Symbol","BestTP","BestSL","Profit","WinRate"
"SCR-USDT-SWAP","1,4","1,4","0,0181958","75"
"AVAAI-USDT-SWAP","2,4","2,4","0,01791192","77,5"
"MUBARAK-USDT-SWAP","0,5","2,7","0,0174775","100"
"ALCH-USDT-SWAP","0,5","2,1","0,01722135","100"
"ONT-USDT-SWAP","0,5","1,6","0,017003","100"
"LRC-USDT-SWAP","0,5","1,6","0,0166407","100"
"S-USDT-SWAP","0,7","0,7","0,0165613","55,56"
"HUMA-USDT-SWAP","0,5","2,6","0,0162783","100"
"DOGE-USDT-SWAP","0,6","0,6","0,01597824","55,88"
"ICX-USDT-SWAP","0,5","1,3","0,0154208","100"
"COOKIE-USDT-SWAP","0,5","0,5","0,01509835","55,81"
"ENJ-USDT-SWAP","0,5","1,8","0,01503785","100"
"ADA-USDT-SWAP","0,5","0,5","0,0144745","52,08"
"DOGE-USD-SWAP","0,5","0,5","0,01426405","54,68"
"API3-USDT-SWAP","0,5","0,5","0,014198","52,44"
"ACT-USDT-SWAP","0,5","2,6","0,0139859","100"
"KMNO-USDT-SWAP","0,5","2","0,0138118","100"
"ARC-USDT-SWAP","0,5","2,8","0,0137496","100"
"XLM-USD-SWAP","3","3","0,0131781","100"
"SWARMS-USDT-SWAP","0,5","2,7","0,01263748","98,45"
"BNT-USDT-SWAP","1,6","1,5","0,0125296","100"
"SOPH-USDT-SWAP","0,5","2,1","0,01250525","100"
"GOAT-USDT-SWAP","0,5","0,5","0,0123384","56,06"
"PERP-USDT-SWAP","2,2","2","0,012243","100"
"APE-USDT-SWAP","0,5","0,5","0,012104","53,7"
"PRCL-USDT-SWAP","0,5","0,5","0,01200415","56,52"
"CORE-USDT-SWAP","2,2","2","0,0116512","100"
"AIXBT-USDT-SWAP","1,1","1,1","0,01158047","61,76"
"VINE-USDT-SWAP","1,1","1,1","0,0114565","63,16"
"W-USDT-SWAP","1,6","1,6","0,01133584","78,57"
"CETUS-USDT-SWAP","0,5","0,5","0,01041795","55,37"
"PARTI-USDT-SWAP","0,5","0,5","0,0104045","54,14"
"BABY-USDT-SWAP","0,5","0,5","0,010279","58,99"
"CFX-USDT-SWAP","2,4","2,3","0,01023595","75"
"ALGO-USDT-SWAP","0,5","0,5","0,009993","53,39"
"SAHARA-USDT-SWAP","1","1","0,0096887","64,1"
"PROMPT-USDT-SWAP","2,2","2,2","0,00945846","100"
"SIGN-USDT-SWAP","0,5","1,9","0,0092584","100"
