"Symbol","BestTP","BestSL","Profit","WinRate"
"ATOM-USD-SWAP","0,5","1,9","0,41439","100"
"JTO-USDT-SWAP","0,5","2","0,404495","100"
"WLD-USDT-SWAP","0,5","2,8","0,4041945","100"
"SPX-USDT-SWAP","0,5","0,5","0,4022455","59,32"
"KAITO-USDT-SWAP","0,5","2,6","0,3895595","100"
"FIL-USDT-SWAP","0,5","1,9","0,382315","100"
"AERO-USDT-SWAP","0,7","0,5","0,3578125","53,31"
"CVX-USDT-SWAP","0,5","0,5","0,347585","54,35"
"TON-USDT-SWAP","0,6","1,8","0,342324","100"
"SUSHI-USDT-SWAP","0,5","2,3","0,337967","98,81"
"FIL-USD-SWAP","0,5","1,8","0,33032","100"
"KSM-USDT-SWAP","1,1","1,1","0,32945","60"
"LDO-USDT-SWAP","0,5","0,5","0,3240345","62,16"
"QTUM-USDT-SWAP","0,5","1,8","0,31488","100"
"OP-USDT-SWAP","0,5","1,5","0,3117945","100"
"XTZ-USDT-SWAP","0,5","2,7","0,2823079","98,63"
"APT-USDT-SWAP","2","1,7","0,26906","100"
"UMA-USDT-SWAP","0,5","2,2","0,25462","100"
"THETA-USDT-SWAP","0,5","2,2","0,239244","100"
"JUP-USDT-SWAP","0,5","2,8","0,236289","100"
"SYRUP-USDT-SWAP","0,5","2,1","0,2335745","100"
"MASK-USDT-SWAP","0,5","1,9","0,23002","100"
"LPT-USDT-SWAP","0,7","0,7","0,224343","55,32"
"FXS-USDT-SWAP","1,3","1,3","0,219531","59,38"
"STX-USDT-SWAP","0,5","2,1","0,214884","100"
"FARTCOIN-USDT-SWAP","0,5","0,5","0,2138935","58,95"
"MAGIC-USDT-SWAP","0,9","2,7","0,21170043","95,41"
"INIT-USDT-SWAP","0,5","2,2","0,210647","100"
"PI-USDT-SWAP","0,6","2,6","0,2105338","98,91"
"ONDO-USDT-SWAP","0,5","2,2","0,2047485","100"
"TREE-USDT-SWAP","0,5","3","0,20236450","95,71"
"ADA-USDT-SWAP","0,5","2","0,198703","100"
"OP-USD-SWAP","0,5","1,5","0,19738","100"
"IMX-USDT-SWAP","0,5","2,2","0,195815","100"
"ZRO-USDT-SWAP","1,8","1,7","0,189291","85,71"
"ADA-USD-SWAP","0,5","2,1","0,1825155","100"
"USELESS-USDT-SWAP","1","3","0,177684","91,67"
"BAND-USDT-SWAP","0,5","1,8","0,1768325","100"
"ARKM-USDT-SWAP","0,5","2,4","0,1755185","100"
"ETHFI-USDT-SWAP","0,5","0,5","0,1726025","57,14"
"POPCAT-USDT-SWAP","0,5","2,8","0,167283","100"
"ARB-USDT-SWAP","0,5","2,1","0,1650665","100"
"API3-USDT-SWAP","0,5","2,1","0,1606225","100"
"ACE-USDT-SWAP","0,5","2,7","0,1597275","100"
"DYDX-USDT-SWAP","0,5","2,2","0,1575925","100"
"GRASS-USDT-SWAP","0,5","0,5","0,1566435","58,93"
"EIGEN-USDT-SWAP","0,8","0,8","0,153324","60"
"SNX-USDT-SWAP","0,5","1,8","0,1512745","100"
"VIRTUAL-USDT-SWAP","0,6","0,6","0,1486644","57,89"
"BNT-USDT-SWAP","0,5","1,5","0,1404345","100"
"LA-USDT-SWAP","0,5","2,7","0,1402401","97,92"
"MORPHO-USDT-SWAP","0,6","0,6","0,1393284","54,87"
"CTC-USDT-SWAP","0,5","2,1","0,136101","100"
"XLM-USDT-SWAP","0,5","2,9","0,1340059","100"
"ME-USDT-SWAP","0,5","2,3","0,1268645","100"
"WIF-USDT-SWAP","0,5","0,5","0,1205895","57,49"
"PNUT-USDT-SWAP","0,5","2,3","0,1198715","100"
"XTZ-USDT-SWAP","1,9","1,9","0,119358","76,92"
"JTO-USDT-SWAP","0,7","0,7","0,116256","59,57"
"ETHW-USDT-SWAP","1,4","1,4","0,115612","69,23"
"DOT-USDT-SWAP","0,5","0,5","0,11538","54,05"
"S-USDT-SWAP","0,5","2,2","0,1153625","100"
"XRP-USDT-SWAP","1,8","1,8","0,1131912","75"
"USELESS-USDT-SWAP","2,2","2,2","0,1105148","70,18"
"NEWT-USDT-SWAP","0,5","2,2","0,1101465","100"
"MOODENG-USDT-SWAP","0,6","2,6","0,10519314","100"
"TIA-USDT-SWAP","0,5","0,5","0,10289","54,41"
"AGLD-USDT-SWAP","0,5","1,8","0,102814","100"
"MAGIC-USDT-SWAP","0,9","0,9","0,10187937","63,03"
"LQTY-USDT-SWAP","1,4","1,4","0,1005802","73,33"
"MAJOR-USDT-SWAP","0,6","2,8","0,0979992","100"
"SCR-USDT-SWAP","0,5","1,8","0,0976125","100"
"SHELL-USDT-SWAP","0,8","2,8","0,0961932","96,43"
"GODS-USDT-SWAP","0,5","2,7","0,09540487","99,28"
"RESOLV-USDT-SWAP","0,5","2,7","0,0944624","98,29"
"WLD-USDT-SWAP","0,5","0,5","0,094047","56,62"
"CELO-USDT-SWAP","0,5","2","0,0932295","100"
"XLM-USD-SWAP","0,5","3","0,09144505","100"
"BIO-USDT-SWAP","0,9","2,9","0,09111919","90,96"
"CRV-USDT-SWAP","1,6","1,6","0,091","87,5"
"OP-USDT-SWAP","0,5","0,5","0,089942","58,57"
"APE-USDT-SWAP","0,5","2,8","0,089741","100"
"CFX-USDT-SWAP","0,5","2,3","0,08878551","98,86"
"WCT-USDT-SWAP","0,5","2","0,0883185","100"
"WAL-USDT-SWAP","0,5","1,7","0,088246","100"
"DOGE-USD-SWAP","0,5","1,8","0,0877827","100"
"TREE-USDT-SWAP","0,5","0,5","0,087339","59,21"
"AXS-USDT-SWAP","0,7","0,7","0,086905","56,41"
"DOGE-USDT-SWAP","0,5","1,7","0,08660425","100"
"LAYER-USDT-SWAP","0,5","1,8","0,086118","100"
"NEAR-USDT-SWAP","0,5","0,5","0,085225","53,4"
"NXPC-USDT-SWAP","0,5","1,5","0,0842895","100"
"ALGO-USDT-SWAP","0,5","2,8","0,0835015","100"
"HBAR-USDT-SWAP","0,5","1,9","0,08092685","100"
"OM-USDT-SWAP","0,5","2","0,0806455","100"
"CORE-USDT-SWAP","0,5","2","0,0802695","100"
"SYRUP-USDT-SWAP","0,9","0,9","0,0794097","65,52"
"AI16Z-USDT-SWAP","0,5","2,9","0,0784155","100"
"DOT-USD-SWAP","0,5","0,5","0,07771","53,03"
"1INCH-USDT-SWAP","0,5","1,9","0,0768973","98,31"
"NEIROETH-USDT-SWAP","0,6","2,5","0,07535952","100"
