timestamp,event,instId,side,price,sz,dip_pct,pnl,pnl_pct,detail
2026-08-04 06:52:55,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004915,0.2,-1.0070,0,0,buy=1 fib=1 x0.1usd
2026-08-04 06:53:00,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004913,0.2,-1.0473,0,0,buy=2 fib=1 x0.1usd
2026-08-04 06:53:02,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004913,0.4,-1.0473,0,0,buy=3 fib=2 x0.2usd
2026-08-04 06:53:04,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004914,0.6,-1.0272,0,0,buy=4 fib=3 x0.3usd
2026-08-04 06:53:07,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004913,1,-1.0473,0,0,buy=5 fib=5 x0.5usd
2026-08-04 06:53:09,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004915,1.6,-1.0070,0,0,buy=6 fib=8 x0.8usd
2026-08-04 16:43:23,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004989,2.6,-1.0119,0,0,buy=7 fib=13 x1.3usd
2026-08-05 03:26:57,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.00000492,4.2,-1.0260,0,0,buy=8 fib=21 x2.1usd
2026-08-05 03:26:59,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.00000492,6.9,-1.0260,0,0,buy=9 fib=34 x3.4usd
2026-08-05 03:27:02,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.00000492,11.1,-1.0260,0,0,buy=10 fib=55 x5.5usd
2026-08-06 01:31:04,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004872,0.2,-1.0158,0,0,buy=1 fib=1 x0.1usd
2026-08-06 01:32:24,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.00000484,0.2,-1.6660,0,0,buy=2 fib=1 x0.1usd
2026-08-06 01:32:28,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004843,0.2,0,0,0,gap=0.5% | activate>=0.00000499 (zhdjom rosta)
2026-08-06 01:36:34,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004855,0.4,0,0,0,gap=0.5% | activate>=0.00000499 (zhdjom rosta)
2026-08-06 01:39:30,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004847,0.4,-1.5238,0,0,buy=3 fib=2 x0.2usd
2026-08-06 01:49:54,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004837,0.8,0,0,0,gap=0.5% | activate>=0.00000499 (zhdjom rosta)
2026-08-06 01:49:55,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004837,0.6,-1.7269,0,0,buy=4 fib=3 x0.3usd
2026-08-06 01:55:53,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004818,1.4,0,0,0,gap=0.5% | activate>=0.00000498 (zhdjom rosta)
2026-08-06 01:55:54,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004818,1,-2.1130,0,0,buy=5 fib=5 x0.5usd
2026-08-06 02:07:38,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004818,2.4,0,0,0,gap=0.5% | activate>=0.00000497 (zhdjom rosta)
2026-08-06 03:35:46,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.00000481,2.4,0,0,0,gap=0.5% | activate>=0.00000497 (zhdjom rosta)
2026-08-06 03:35:55,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004811,2.4,0,0,0,gap=0.5% | activate>=0.00000497 (zhdjom rosta)
2026-08-06 03:44:06,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004816,2.4,0,0,0,gap=0.5% | activate>=0.00000497 (zhdjom rosta)
2026-08-06 03:44:15,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004814,2.4,0,0,0,gap=0.5% | activate>=0.00000497 (zhdjom rosta)
2026-08-06 03:53:24,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004816,2.4,0,0,0,gap=0.5% | activate>=0.00000497 (zhdjom rosta)
2026-08-06 03:53:32,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004814,2.4,0,0,0,gap=0.5% | activate>=0.00000497 (zhdjom rosta)
2026-08-06 03:53:41,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004814,2.4,0,0,0,gap=0.5% | activate>=0.00000497 (zhdjom rosta)
2026-08-06 09:10:26,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004751,1.6,-1.2061,0,0,buy=6 fib=8 x0.8usd
2026-08-06 09:15:14,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.00000475,4,0,0,0,gap=0.5% | activate>=0.00000494 (zhdjom rosta)
2026-08-06 09:15:16,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.00000475,2.7,-1.2269,0,0,buy=7 fib=13 x1.3usd
2026-08-06 09:19:15,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004751,6.7,0,0,0,gap=0.5% | activate>=0.00000493 (zhdjom rosta)
2026-08-06 09:19:16,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004751,4.4,-1.2061,0,0,buy=8 fib=21 x2.1usd
2026-08-06 09:26:24,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004735,8.4,0,0,0,gap=0.5% | activate>=0.00000492 (zhdjom rosta)
2026-08-06 09:26:25,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004735,7.1,-1.5388,0,0,buy=9 fib=34 x3.4usd
2026-08-06 09:34:58,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.00000473,11.6,-1.6428,0,0,buy=10 fib=55 x5.5usd
2026-08-06 12:16:58,CLOSED,SHIB-USDT-SWAP,LONG,0.000004712,8.4,0,-0.5105,-1.27,total_buys=10
2026-08-06 12:17:02,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004712,8.4,0,0,0,gap=0.5% | activate>=0.00000492 (zhdjom rosta)
2026-08-06 13:09:44,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004706,8.4,0,0,0,gap=0.5% | activate>=0.00000492 (zhdjom rosta)
2026-08-06 13:09:53,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004706,8.4,0,0,0,gap=0.5% | activate>=0.00000492 (zhdjom rosta)
2026-08-06 15:45:26,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004677,0.2,-1.0159,0,0,buy=1 fib=1 x0.1usd
2026-08-06 15:54:59,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004677,0.2,-1.0159,0,0,buy=2 fib=1 x0.1usd
2026-08-06 15:56:25,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004677,0.4,-1.0159,0,0,buy=3 fib=2 x0.2usd
2026-08-07 01:46:37,CLOSED,SHIB-USDT-SWAP,LONG,0.000004665,8.4,0,-0.9053,-2.26,total_buys=3
2026-08-07 01:46:41,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004665,8.4,0,0,0,gap=0.5% | activate>=0.00000492 (zhdjom rosta)
2026-08-07 04:33:55,FIBO_BUY_PLACED,SHIB-USDT-SWAP,BUY,0.000004614,0.2,-1.0508,0,0,buy=1 fib=1 x0.1usd
