2025-09-01 11:56:12 🔄 Новый цикл бота. Баланс: 1000$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 838.607414205247$ | PnL: -1.08134281 💵 | Сделок: 6 | WinRate: 16.67%
🔄 Новый цикл бота. Баланс: 838.607414205247$ | PnL: -1.08134281 💵 | Сделок: 6 | WinRate: 16.67%
🔄 Новый цикл бота. Баланс: 838.607414205247$ | PnL: -1.08134281 💵 | Сделок: 6 | WinRate: 16.67%
🔄 Новый цикл бота. Баланс: 838.607414205247$ | PnL: -1.08134281 💵 | Сделок: 6 | WinRate: 16.67%
🔄 Новый цикл бота. Баланс: 838.607414205247$ | PnL: -1.08134281 💵 | Сделок: 6 | WinRate: 16.67%
🔄 Новый цикл бота. Баланс: 838.607414205247$ | PnL: -1.08134281 💵 | Сделок: 6 | WinRate: 16.67%
🔄 Новый цикл бота. Баланс: 838.607414205247$ | PnL: -1.08134281 💵 | Сделок: 6 | WinRate: 16.67%
🔄 Новый цикл бота. Баланс: 828.598382776987$ | PnL: -1.08134281 💵 | Сделок: 6 | WinRate: 16.67%
🔄 Новый цикл бота. Баланс: 828.598382776987$ | PnL: -1.08134281 💵 | Сделок: 6 | WinRate: 16.67%
🔄 Новый цикл бота. Баланс: 828.598382776987$ | PnL: -1.08134281 💵 | Сделок: 6 | WinRate: 16.67%
🔄 Новый цикл бота. Баланс: 828.598382776987$ | PnL: -1.08134281 💵 | Сделок: 6 | WinRate: 16.67%
🔄 Новый цикл бота. Баланс: 828.598382776987$ | PnL: -1.08134281 💵 | Сделок: 6 | WinRate: 16.67%
🔄 Новый цикл бота. Баланс: 828.598382776987$ | PnL: -1.08134281 💵 | Сделок: 6 | WinRate: 16.67%
🔄 Новый цикл бота. Баланс: 828.598382776987$ | PnL: -1.08134281 💵 | Сделок: 6 | WinRate: 16.67%
🔄 Новый цикл бота. Баланс: 828.598382776987$ | PnL: -1.08134281 💵 | Сделок: 6 | WinRate: 16.67%
🔄 Новый цикл бота. Баланс: 828.598382776987$ | PnL: -1.08134281 💵 | Сделок: 6 | WinRate: 16.67%
🔄 Новый цикл бота. Баланс: 828.598382776987$ | PnL: -1.08134281 💵 | Сделок: 6 | WinRate: 16.67%
🔄 Новый цикл бота. Баланс: 828.598382776987$ | PnL: -1.08134281 💵 | Сделок: 6 | WinRate: 16.67%
🔄 Новый цикл бота. Баланс: 828.598382776987$ | PnL: -1.08134281 💵 | Сделок: 6 | WinRate: 16.67%
🔄 Новый цикл бота. Баланс: 828.598382776987$ | PnL: -1.08134281 💵 | Сделок: 6 | WinRate: 16.67%
🔄 Новый цикл бота. Баланс: 798.50090718659$ | PnL: -1.08134281 💵 | Сделок: 6 | WinRate: 16.67%
🔄 Новый цикл бота. Баланс: 798.50090718659$ | PnL: -1.08134281 💵 | Сделок: 6 | WinRate: 16.67%
🔄 Новый цикл бота. Баланс: 798.50090718659$ | PnL: -1.08134281 💵 | Сделок: 6 | WinRate: 16.67%
🔄 Новый цикл бота. Баланс: 798.50090718659$ | PnL: -1.08134281 💵 | Сделок: 6 | WinRate: 16.67%
🔄 Новый цикл бота. Баланс: 788.491892453342$ | PnL: -1.08134281 💵 | Сделок: 6 | WinRate: 16.67%
🔄 Новый цикл бота. Баланс: 788.491892453342$ | PnL: -1.08134281 💵 | Сделок: 6 | WinRate: 16.67%
🔄 Новый цикл бота. Баланс: 799.566661783342$ | PnL: -0.00657356000000009 💵 | Сделок: 7 | WinRate: 28.57%
🔄 Новый цикл бота. Баланс: 789.557662354856$ | PnL: -0.00657356000000009 💵 | Сделок: 7 | WinRate: 28.57%
🔄 Новый цикл бота. Баланс: 789.557662354856$ | PnL: -0.00657356000000009 💵 | Сделок: 7 | WinRate: 28.57%
🔄 Новый цикл бота. Баланс: 789.557662354856$ | PnL: -0.00657356000000009 💵 | Сделок: 7 | WinRate: 28.57%
🔄 Новый цикл бота. Баланс: 789.557662354856$ | PnL: -0.00657356000000009 💵 | Сделок: 7 | WinRate: 28.57%
🔄 Новый цикл бота. Баланс: 789.557662354856$ | PnL: -0.00657356000000009 💵 | Сделок: 7 | WinRate: 28.57%
🔄 Новый цикл бота. Баланс: 789.557662354856$ | PnL: -0.00657356000000009 💵 | Сделок: 7 | WinRate: 28.57%
🔄 Новый цикл бота. Баланс: 789.557662354856$ | PnL: -0.00657356000000009 💵 | Сделок: 7 | WinRate: 28.57%
🔄 Новый цикл бота. Баланс: 789.557662354856$ | PnL: -0.00657356000000009 💵 | Сделок: 7 | WinRate: 28.57%
🔄 Новый цикл бота. Баланс: 789.557662354856$ | PnL: -0.00657356000000009 💵 | Сделок: 7 | WinRate: 28.57%
🔄 Новый цикл бота. Баланс: 789.557662354856$ | PnL: -0.00657356000000009 💵 | Сделок: 7 | WinRate: 28.57%
🔄 Новый цикл бота. Баланс: 789.557662354856$ | PnL: -0.00657356000000009 💵 | Сделок: 7 | WinRate: 28.57%
🔄 Новый цикл бота. Баланс: 789.557662354856$ | PnL: -0.00657356000000009 💵 | Сделок: 7 | WinRate: 28.57%
🔄 Новый цикл бота. Баланс: 789.557662354856$ | PnL: -0.00657356000000009 💵 | Сделок: 7 | WinRate: 28.57%
🔄 Новый цикл бота. Баланс: 799.247578894856$ | PnL: -0.31667174 💵 | Сделок: 8 | WinRate: 25%
🔄 Новый цикл бота. Баланс: 799.247578894856$ | PnL: -0.31667174 💵 | Сделок: 8 | WinRate: 25%
