inst,side,entry,tp,sl,exit,result
BTC-USD-SWAP,SHORT,114967.5,114203.78571428571,115349.35714285714,114203.78571428571,0.06642871121963076
BTC-USD-SWAP,LONG,115072.9,115845.67142857143,114686.51428571428,114686.51428571428,-0.03357747256614858
BTC-USD-SWAP,LONG,115073.4,115796.4857142857,114711.85714285713,114711.85714285713,-0.03141845614563086
BTC-USD-SWAP,LONG,115122.1,115763.75714285715,114801.27142857143,114801.27142857143,-0.027868547518554117
BTC-USD-SWAP,SHORT,115055.3,114434.87142857144,115365.5142857143,114434.87142857144,0.053924379965856875
BTC-USD-SWAP,LONG,115127.6,115729.45714285715,114826.67142857144,114826.67142857144,-0.02613869927181364
BTC-USD-SWAP,SHORT,115116.5,114551.84285714287,115398.82857142857,114551.84285714287,0.04905093039287446
BTC-USD-SWAP,SHORT,115054.6,114499.00000000001,115332.40000000001,114499.00000000001,0.04829011617093025
BTC-USD-SWAP,SHORT,115051.9,114498.84285714287,115328.42857142857,114498.84285714287,0.048070231161512975
BTC-USD-SWAP,SHORT,115044.7,114525.18571428572,115304.45714285714,114525.18571428572,0.04515760271566428
BTC-USD-SWAP,LONG,115112.0,115587.54285714285,114874.22857142857,114874.22857142857,-0.020655659581228013
BTC-USD-SWAP,SHORT,115110.0,114651.65714285715,115339.17142857143,114651.65714285715,0.03981781401640624
BTC-USD-SWAP,LONG,115196.0,115593.85714285714,114997.07142857143,114997.07142857143,-0.017268704766534013
BTC-USD-SWAP,SHORT,115126.1,114718.47142857144,115329.91428571429,114718.47142857144,0.03540713803634121
BTC-USD-SWAP,SHORT,115078.4,114655.91428571429,115289.64285714286,114655.91428571429,0.03671285960577374
BTC-USD-SWAP,SHORT,115032.7,114606.44285714286,115245.82857142857,114606.44285714286,0.037055301914771986
BTC-USD-SWAP,SHORT,115023.9,114604.27142857142,115233.71428571428,114604.27142857142,0.0364818591117652
BTC-USD-SWAP,SHORT,114984.5,114549.1,115202.2,114549.1,0.037865973239870954
BTC-USD-SWAP,LONG,115217.9,115696.44285714284,114978.62857142856,114978.62857142856,-0.02076686249024083
BTC-USD-SWAP,LONG,115251.0,115722.88571428572,115015.05714285714,115015.05714285714,-0.0204720876298564
BTC-USD-SWAP,SHORT,115210.2,114751.31428571428,115439.64285714286,114751.31428571428,0.039830302723692514
BTC-USD-SWAP,LONG,115281.5,115732.6142857143,115055.94285714286,115055.94285714286,-0.019565770991628494
BTC-USD-SWAP,SHORT,115205.8,114741.22857142857,115438.08571428571,114741.22857142857,0.040325350682989466
BTC-USD-SWAP,LONG,115232.1,115689.24285714286,115003.52857142857,115003.52857142857,-0.01983574269421757
BTC-USD-SWAP,LONG,115260.0,115717.71428571429,115031.14285714286,115031.14285714286,-0.019855729902580683
BTC-USD-SWAP,LONG,115390.1,115859.58571428571,115155.35714285714,115155.35714285714,-0.020343413962104276
BTC-USD-SWAP,SHORT,115336.5,114880.21428571428,115564.64285714286,114880.21428571428,0.03956125894974485
BTC-USD-SWAP,LONG,115391.0,115818.02857142857,115177.4857142857,115177.4857142857,-0.018503547565606744
BTC-USD-SWAP,LONG,115449.1,115857.92857142858,115244.68571428572,115244.68571428572,-0.01770600946341608
BTC-USD-SWAP,SHORT,115348.0,114916.59999999999,115563.7,114916.59999999999,0.03739986822485078
BTC-USD-SWAP,SHORT,115332.7,114874.52857142856,115561.78571428571,114874.52857142856,0.039726064556837797
BTC-USD-SWAP,SHORT,115260.4,114793.2857142857,115493.95714285714,114793.2857142857,0.0405268666180491
BTC-USD-SWAP,LONG,115468.3,115927.70000000001,115238.6,115238.6,-0.019892905671946078
BTC-USD-SWAP,SHORT,115447.4,114968.45714285714,115686.87142857142,114968.45714285714,0.04148580714185491
BTC-USD-SWAP,LONG,115596.7,116133.04285714286,115328.52857142857,115328.52857142857,-0.02319888271649849
BTC-USD-SWAP,SHORT,115503.3,114944.21428571429,115782.84285714287,114944.21428571429,0.04840430656835892
BTC-USD-SWAP,SHORT,115204.4,114563.57142857142,115524.81428571428,114563.57142857142,0.055625355579177
BTC-USD-SWAP,SHORT,114999.8,114306.2,115346.6,114306.2,0.06031314837069333
BTC-USD-SWAP,LONG,115048.7,115790.32857142857,114677.88571428572,114677.88571428572,-0.03223107133885747
BTC-USD-SWAP,SHORT,114944.4,114199.4857142857,115316.85714285714,114199.4857142857,0.06480648780752146
BTC-USD-SWAP,LONG,114964.0,115702.48571428572,114594.75714285714,114594.75714285714,-0.03211812890494945
BTC-USD-SWAP,LONG,115030.8,115804.94285714286,114643.72857142857,114643.72857142857,-0.033649372913292334
BTC-USD-SWAP,LONG,115206.9,116005.61428571428,114807.54285714285,114807.54285714285,-0.034664342401118764
BTC-USD-SWAP,LONG,115217.9,116008.78571428571,114822.45714285714,114822.45714285714,-0.03432130399381155
BTC-USD-SWAP,SHORT,115108.8,114323.40000000001,115501.5,114323.40000000001,0.06823109962053242
BTC-USD-SWAP,LONG,115156.4,115899.82857142856,114784.6857142857,114784.6857142857,-0.03227908181519133
BTC-USD-SWAP,SHORT,115129.3,114424.18571428572,115481.85714285714,114424.18571428572,0.06124542455433014
BTC-USD-SWAP,SHORT,115077.9,114384.27142857143,115424.71428571428,114384.27142857143,0.06027469839374565
BTC-USD-SWAP,SHORT,114962.1,114295.75714285715,115295.27142857143,114295.75714285715,0.05796195938860303
BTC-USD-SWAP,LONG,114993.6,115638.48571428572,114671.15714285715,114671.15714285715,-0.02804006980761172
BTC-USD-SWAP,SHORT,114946.0,114373.40000000001,115232.3,114373.40000000001,0.04981469559619224
BTC-USD-SWAP,SHORT,115010.1,114488.50000000001,115270.90000000001,114488.50000000001,0.04535253860313061
BTC-USD-SWAP,SHORT,114859.6,114331.62857142858,115123.58571428571,114331.62857142858,0.04596667832479209
BTC-USD-SWAP,LONG,114945.7,115480.81428571428,114678.14285714286,114678.14285714286,-0.023276829220853154
BTC-USD-SWAP,LONG,115039.2,115563.99999999999,114776.8,114776.8,-0.022809616200390317
BTC-USD-SWAP,SHORT,114992.1,114485.67142857144,115245.3142857143,114485.67142857144,0.04404029245735708
BTC-USD-SWAP,SHORT,114870.1,114357.72857142858,115126.28571428572,114357.72857142858,0.04460442086943627
BTC-USD-SWAP,LONG,114878.5,115413.18571428572,114611.15714285715,114611.15714285715,-0.023271792123230384
BTC-USD-SWAP,SHORT,114820.3,114268.38571428572,115096.25714285715,114268.38571428572,0.04806765752347685
BTC-USD-SWAP,SHORT,114776.1,114224.47142857143,115051.91428571429,114224.47142857143,0.04806127507630742
BTC-USD-SWAP,SHORT,114676.0,114105.22857142857,114961.38571428572,114105.22857142857,0.049772526820906896
BTC-USD-SWAP,LONG,114821.9,115416.21428571428,114524.74285714285,114524.74285714285,-0.025879831535373293
BTC-USD-SWAP,LONG,115012.9,115645.0142857143,114696.84285714285,114696.84285714285,-0.02748014725801558
BTC-USD-SWAP,SHORT,114845.2,114221.79999999999,115156.9,114221.79999999999,0.054281763626168864
BTC-USD-SWAP,SHORT,114830.0,114191.82857142856,115149.08571428571,114191.82857142856,0.05557532252646874
BTC-USD-SWAP,SHORT,114743.3,114112.61428571428,115058.64285714286,114112.61428571428,0.05496492730170031
BTC-USD-SWAP,LONG,114869.9,115546.09999999999,114531.79999999999,114531.79999999999,-0.029433298018019152
BTC-USD-SWAP,SHORT,114782.7,114099.35714285714,115124.37142857142,114099.35714285714,0.059533610652376376
BTC-USD-SWAP,SHORT,114773.6,114089.9142857143,115115.44285714286,114089.9142857143,0.059568203339940916
BTC-USD-SWAP,SHORT,114629.1,113921.52857142859,114982.88571428572,113921.52857142859,0.06172703341223304
BTC-USD-SWAP,LONG,114653.5,115318.58571428571,114320.95714285715,114320.95714285715,-0.029004160984431284
BTC-USD-SWAP,LONG,114729.4,115385.45714285712,114401.37142857142,114401.37142857142,-0.028591500646614646
BTC-USD-SWAP,LONG,114789.8,115456.34285714285,114456.52857142859,114456.52857142859,-0.02903319184905082
BTC-USD-SWAP,SHORT,114675.8,113988.74285714288,115019.32857142857,113988.74285714288,0.059913001946106104
BTC-USD-SWAP,SHORT,114645.4,113975.02857142857,114980.5857142857,113975.02857142857,0.05847346937351374
BTC-USD-SWAP,SHORT,114667.2,114071.62857142858,114964.9857142857,114071.62857142858,0.05193912719342761
BTC-USD-SWAP,SHORT,114666.0,114059.22857142858,114969.38571428572,114059.22857142858,0.052916420610417854
BTC-USD-SWAP,SHORT,114640.4,114020.82857142857,114950.1857142857,114020.82857142857,0.05404477204994228
BTC-USD-SWAP,SHORT,114560.8,113913.1142857143,114884.64285714286,113913.1142857143,0.05653641684465405
BTC-USD-SWAP,SHORT,114400.0,113762.08571428571,114718.95714285714,113762.08571428571,0.05576173826173837
BTC-USD-SWAP,LONG,114455.9,115101.55714285713,114133.07142857142,114133.07142857142,-0.028205498487065668
BTC-USD-SWAP,SHORT,114444.1,113811.24285714286,114760.52857142857,113811.24285714286,0.05529836338065002
BTC-USD-SWAP,LONG,114518.2,115154.2,114200.2,114200.2,-0.02776851190465795
BTC-USD-SWAP,LONG,114693.2,115426.34285714285,114326.62857142858,114326.62857142858,-0.03196104290153385
BTC-USD-SWAP,SHORT,114645.3,113891.1,115022.40000000001,113891.1,0.06578551410306371
BTC-USD-SWAP,LONG,114653.0,115427.08571428571,114265.95714285714,114265.95714285714,-0.03375776099560097
BTC-USD-SWAP,SHORT,114410.0,113609.91428571429,114810.04285714286,113609.91428571429,0.06993144954861577
BTC-USD-SWAP,LONG,114522.1,115325.98571428572,114120.15714285715,114120.15714285715,-0.03509740540409737
BTC-USD-SWAP,SHORT,114438.4,113602.71428571428,114856.24285714285,113602.71428571428,0.07302493868192135
BTC-USD-SWAP,SHORT,114404.1,113558.21428571429,114827.04285714286,113558.21428571429,0.07393840905052493
BTC-USD-SWAP,SHORT,114292.0,113459.0,114708.5,113459.0,0.07288349140797257
BTC-USD-SWAP,LONG,114465.9,115330.67142857143,114033.51428571428,114033.51428571428,-0.03777419426097344
BTC-USD-SWAP,SHORT,114297.5,113430.67142857143,114730.91428571429,113430.67142857143,0.07583967903309993
BTC-USD-SWAP,SHORT,114423.5,113527.47142857143,114871.51428571428,113527.47142857143,0.07830808980922371
BTC-USD-SWAP,LONG,114738.7,115721.55714285714,114247.27142857143,114247.27142857143,-0.04283023700186295
BTC-USD-SWAP,SHORT,114672.0,113690.17142857143,115162.91428571429,113690.17142857143,0.08562060236400987
BTC-USD-SWAP,SHORT,114630.0,113658.05714285714,115115.97142857143,113658.05714285714,0.08478957141610904
BTC-USD-SWAP,SHORT,114579.9,113635.67142857143,115052.01428571428,113635.67142857143,0.08240787183690754
BTC-USD-SWAP,LONG,114716.5,115653.15714285713,114248.17142857143,114248.17142857143,-0.040824865771582466
BTC-USD-SWAP,SHORT,113048.1,110916.30000000002,114114.0,110916.30000000002,0.18857459789240053
BTC-USD-SWAP,SHORT,112579.9,110188.24285714286,113775.72857142857,110188.24285714286,0.21244086580794025
BTC-USD-SWAP,SHORT,112122.8,109483.37142857144,113442.51428571428,109483.37142857144,0.23540516036243878
BTC-USD-SWAP,LONG,112834.0,115675.05714285713,111413.47142857143,111413.47142857143,-0.12589543678577123
BTC-USD-SWAP,LONG,112977.0,115864.65714285713,111533.17142857143,111533.17142857143,-0.12779845202373705
BTC-USD-SWAP,SHORT,112759.0,109807.88571428572,114234.55714285714,109807.88571428572,0.261718735153228
BTC-USD-SWAP,SHORT,112608.1,109609.04285714286,114107.62857142858,109609.04285714286,0.2663269465391159
BTC-USD-SWAP,LONG,112898.0,115917.34285714285,111388.32857142857,111388.32857142857,-0.13371994442518256
BTC-USD-SWAP,LONG,112945.8,115985.6,111425.90000000001,111425.90000000001,-0.13456897024944656
BTC-USD-SWAP,LONG,112964.4,116019.62857142856,111436.78571428571,111436.78571428571,-0.13522970827218878
BTC-USD-SWAP,SHORT,112907.3,109820.55714285714,114450.67142857143,109820.55714285714,0.273387359111666
BTC-USD-SWAP,SHORT,112632.4,109534.74285714285,114181.22857142857,109534.74285714285,0.27502362933375724
BTC-USD-SWAP,LONG,113335.4,116614.97142857143,111695.61428571428,111695.61428571428,-0.14468433642848663
BTC-USD-SWAP,LONG,113443.1,116742.15714285715,111793.57142857143,111793.57142857143,-0.14540580885294663
BTC-USD-SWAP,SHORT,113433.9,111318.32857142856,114491.6857142857,111318.32857142856,0.18650257361965294
BTC-USD-SWAP,LONG,113621.9,115483.72857142857,112690.9857142857,112690.9857142857,-0.081930885305939
BTC-USD-SWAP,SHORT,113621.1,111963.92857142858,114449.68571428572,111963.92857142858,0.14585067637713645
BTC-USD-SWAP,SHORT,113465.3,111978.27142857143,114208.8142857143,111978.27142857143,0.13105580044547285
BTC-USD-SWAP,SHORT,113388.1,111989.67142857144,114087.3142857143,111989.67142857144,0.12333115833394907
BTC-USD-SWAP,SHORT,113040.0,111651.97142857143,113734.01428571428,111651.97142857143,0.12279092103932865
BTC-USD-SWAP,SHORT,112218.3,110695.21428571429,112979.84285714285,110695.21428571429,0.13572525285855452
BTC-USD-SWAP,LONG,112613.9,114187.15714285713,111827.27142857142,111827.27142857142,-0.06985181859686743
BTC-USD-SWAP,LONG,112789.0,114293.45714285714,112036.77142857143,112036.77142857143,-0.06669343388349645
BTC-USD-SWAP,LONG,112976.5,114553.9857142857,112187.75714285714,112187.75714285714,-0.06981477184572552
BTC-USD-SWAP,LONG,112677.7,114244.87142857142,111894.11428571428,111894.11428571428,-0.06954221769575639
BTC-USD-SWAP,LONG,113043.7,114634.12857142856,112248.4857142857,112248.4857142857,-0.07034574113500265
BTC-USD-SWAP,LONG,113360.0,114838.54285714285,112620.72857142857,112620.72857142857,-0.06521448734751517
BTC-USD-SWAP,LONG,113398.6,114889.2,112653.3,112653.3,-0.06572391546280137
BTC-USD-SWAP,LONG,113389.1,114880.15714285715,112643.57142857143,112643.57142857143,-0.0657495801120717
BTC-USD-SWAP,SHORT,113382.7,111864.41428571429,114141.84285714285,111864.41428571429,0.13390805778004142
BTC-USD-SWAP,SHORT,113328.8,111815.0,114085.7,111815.0,0.13357593127254527
BTC-USD-SWAP,SHORT,113312.9,111787.9,114075.4,111787.9,0.1345830880685253
BTC-USD-SWAP,SHORT,112872.0,111330.71428571428,113642.64285714286,111330.71428571428,0.13655164383423035
BTC-USD-SWAP,SHORT,112814.4,111479.54285714285,113481.82857142857,111479.54285714285,0.11832329408809025
BTC-USD-SWAP,SHORT,112677.0,111415.4857142857,113307.75714285715,111415.4857142857,0.11195845520508113
BTC-USD-SWAP,LONG,112753.4,113996.40000000001,112131.9,112131.9,-0.05512028905558502
BTC-USD-SWAP,SHORT,112734.6,111583.57142857142,113310.1142857143,111583.57142857142,0.10210073672400359
BTC-USD-SWAP,SHORT,112531.3,111387.7,113103.1,111387.7,0.10162505898358998
BTC-USD-SWAP,SHORT,112515.6,111439.2,113053.8,111439.2,0.09566673421285658
BTC-USD-SWAP,SHORT,112476.3,111439.12857142858,112994.88571428572,111439.12857142858,0.09221244196078872
BTC-USD-SWAP,SHORT,112280.3,111240.1,112800.40000000001,111240.1,0.09264314398874932
BTC-USD-SWAP,SHORT,112251.1,111230.35714285714,112761.47142857143,111230.35714285714,0.09093388458045051
BTC-USD-SWAP,SHORT,112226.7,111178.3,112750.9,111178.3,0.09341805470534145
BTC-USD-SWAP,SHORT,112007.2,110972.42857142857,112524.58571428571,110972.42857142857,0.09238436712741965
BTC-USD-SWAP,SHORT,111879.7,110829.1,112405.0,110829.1,0.09390443485279201
BTC-USD-SWAP,SHORT,112007.0,110938.68571428572,112541.15714285713,110938.68571428572,0.09537924287895232
BTC-USD-SWAP,SHORT,111864.1,110858.38571428573,112366.95714285715,110858.38571428573,0.08990500846243568
BTC-USD-SWAP,SHORT,111806.6,110708.34285714287,112355.72857142857,110708.34285714287,0.09822829268192924
BTC-USD-SWAP,SHORT,111444.2,110245.74285714286,112043.42857142857,110245.74285714286,0.1075387631529623
BTC-USD-SWAP,LONG,111575.9,112907.3857142857,110910.15714285715,110910.15714285715,-0.05966726301493838
BTC-USD-SWAP,LONG,111612.1,112943.75714285714,110946.27142857145,110946.27142857145,-0.05965559033729849
BTC-USD-SWAP,SHORT,111481.2,110151.57142857143,112146.01428571428,110151.57142857143,0.11926930921344248
BTC-USD-SWAP,SHORT,111349.8,109982.62857142859,112033.38571428572,109982.62857142859,0.1227816689901025
BTC-USD-SWAP,SHORT,111332.8,109968.6,112014.9,109968.6,0.12253352111866378
BTC-USD-SWAP,LONG,111428.1,112781.12857142856,110751.58571428573,110751.58571428573,-0.0607130773758395
BTC-USD-SWAP,LONG,111601.0,112990.74285714285,110906.12857142858,110906.12857142858,-0.0622639070054411
BTC-USD-SWAP,SHORT,111609.4,110264.42857142858,112281.8857142857,110264.42857142858,0.12050700286637278
BTC-USD-SWAP,SHORT,111175.7,109734.38571428572,111896.35714285713,109734.38571428572,0.12964292428239993
BTC-USD-SWAP,SHORT,111160.1,109685.35714285716,111897.47142857143,109685.35714285716,0.1326683636613179
BTC-USD-SWAP,SHORT,110943.4,109449.82857142857,111690.1857142857,109449.82857142857,0.1346246309894433
BTC-USD-SWAP,LONG,111081.0,112485.42857142857,110378.78571428572,110378.78571428572,-0.06321641736339026
BTC-USD-SWAP,SHORT,111032.7,109750.07142857143,111674.01428571428,109750.07142857143,0.11551809254648066
BTC-USD-SWAP,LONG,111067.1,112251.44285714286,110474.92857142858,110474.92857142858,-0.05331654725579636
BTC-USD-SWAP,LONG,111179.9,112358.89999999998,110590.4,110590.4,-0.05302217397209388
BTC-USD-SWAP,SHORT,111171.9,109994.18571428572,111760.75714285712,109994.18571428572,0.10593632794926373
BTC-USD-SWAP,LONG,111647.5,112893.5857142857,111024.45714285715,111024.45714285715,-0.055804461106863046
BTC-USD-SWAP,SHORT,111558.0,110268.57142857143,112202.71428571428,110268.57142857143,0.11558369381205877
BTC-USD-SWAP,SHORT,111553.2,110286.17142857143,112186.71428571428,110286.17142857143,0.11358065671164709
BTC-USD-SWAP,SHORT,111448.0,110192.82857142857,112075.58571428571,110192.82857142857,0.11262395274670034
BTC-USD-SWAP,SHORT,110770.0,109247.02857142859,111531.4857142857,111531.4857142857,-0.06874476070106593
BTC-USD-SWAP,LONG,111459.4,113078.42857142855,110649.88571428572,110649.88571428572,-0.07262862402940248
BTC-USD-SWAP,LONG,111796.0,113481.51428571428,110953.24285714286,110953.24285714286,-0.07538347909201931
BTC-USD-SWAP,LONG,111880.7,113585.55714285713,111028.27142857143,111028.27142857143,-0.07619085073909666
BTC-USD-SWAP,LONG,112016.0,113767.8857142857,111140.05714285716,111140.05714285716,-0.07819801252882119
BTC-USD-SWAP,LONG,112224.3,114011.84285714285,111330.52857142859,111330.52857142859,-0.07964152403458229
BTC-USD-SWAP,SHORT,111963.8,110107.17142857144,112892.11428571428,110107.17142857144,0.16582400485054655
BTC-USD-SWAP,LONG,112425.7,114394.49999999999,111441.3,111441.3,-0.08756005077130889
BTC-USD-SWAP,SHORT,112385.2,110416.71428571429,113369.44285714284,110416.71428571429,0.17515524413229744
BTC-USD-SWAP,SHORT,112160.8,110256.25714285715,113113.07142857142,110256.25714285715,0.1698046783852156
BTC-USD-SWAP,LONG,112551.9,114520.44285714284,111567.62857142858,111567.62857142858,-0.08745044984326496
BTC-USD-SWAP,LONG,112610.5,114623.49999999999,111604.0,111604.0,-0.08937887674772779
BTC-USD-SWAP,LONG,112682.7,114700.81428571427,111673.64285714286,111673.64285714286,-0.08954854142269772
BTC-USD-SWAP,SHORT,112480.0,110500.3142857143,113469.84285714285,110500.3142857143,0.17600335297703631
BTC-USD-SWAP,SHORT,112476.2,110631.05714285714,113398.77142857142,110631.05714285714,0.1640474035522942
BTC-USD-SWAP,SHORT,112432.7,110794.9,113251.59999999999,110794.9,0.14566936487338675
BTC-USD-SWAP,SHORT,112415.4,110802.31428571428,113221.94285714284,110802.31428571428,0.14349330378984668
BTC-USD-SWAP,LONG,112440.6,114003.8,111659.0,111659.0,-0.06951225802779475
BTC-USD-SWAP,LONG,112554.1,114086.64285714286,111787.82857142857,111787.82857142857,-0.06808027682433886
BTC-USD-SWAP,SHORT,112281.3,110815.21428571429,113014.34285714285,110815.21428571429,0.1305725632216329
BTC-USD-SWAP,SHORT,112386.9,111033.55714285714,113063.57142857142,111033.55714285714,0.12041820329085082
BTC-USD-SWAP,SHORT,112130.0,110787.14285714286,112801.42857142857,110787.14285714286,0.11975895325578746
BTC-USD-SWAP,SHORT,111948.0,110558.8,112642.59999999999,110558.8,0.12409332904562807
BTC-USD-SWAP,SHORT,111149.8,109665.65714285715,111891.87142857142,109665.65714285715,0.13352636326316872
BTC-USD-SWAP,SHORT,110669.2,109079.08571428573,111464.25714285714,111464.25714285714,-0.07184086835877931
BTC-USD-SWAP,SHORT,110031.9,108197.8142857143,110948.94285714284,110948.94285714284,-0.083343362892293
BTC-USD-SWAP,LONG,110484.9,112404.24285714283,109525.22857142857,109525.22857142857,-0.08685996263484207
BTC-USD-SWAP,SHORT,109911.4,107792.77142857143,110970.71428571428,110970.71428571428,-0.09637892754657672
BTC-USD-SWAP,SHORT,109527.6,107350.05714285717,110616.37142857142,110616.37142857142,-0.09940612490106761
BTC-USD-SWAP,SHORT,109462.7,107263.58571428573,110562.25714285712,110562.25714285712,-0.10045039477896374
BTC-USD-SWAP,LONG,109495.4,111727.51428571426,108379.34285714285,111727.51428571426,0.20385461724549797
BTC-USD-SWAP,LONG,110028.8,112459.54285714285,108813.42857142858,112459.54285714285,0.22091878282257427
BTC-USD-SWAP,SHORT,109868.6,107373.9142857143,111115.94285714286,111115.94285714286,-0.1135304224448889
BTC-USD-SWAP,LONG,109999.3,112479.07142857142,108759.4142857143,112479.07142857142,0.2254352008214068
BTC-USD-SWAP,LONG,110356.4,112902.54285714283,109083.32857142857,112902.54285714283,0.23071999966860468
BTC-USD-SWAP,LONG,110556.0,113096.31428571427,109285.84285714287,109285.84285714287,-0.11488812392426764
BTC-USD-SWAP,SHORT,110130.9,107580.95714285715,111405.87142857142,111405.87142857142,-0.11576872871931757
BTC-USD-SWAP,SHORT,110036.1,107647.01428571431,111230.64285714286,111230.64285714286,-0.10855917804637288
BTC-USD-SWAP,SHORT,109918.0,107644.97142857144,111054.51428571428,111054.51428571428,-0.1033965579535907
BTC-USD-SWAP,LONG,110160.0,112190.4857142857,109144.75714285715,112190.4857142857,0.18432150638032926
BTC-USD-SWAP,SHORT,110100.1,108173.38571428573,111063.45714285715,111063.45714285715,-0.08749829862617244
BTC-USD-SWAP,SHORT,109708.6,107928.94285714287,110598.42857142858,110598.42857142858,-0.08110836993896321
BTC-USD-SWAP,SHORT,109634.0,107908.37142857144,110496.81428571428,110496.81428571428,-0.07869951709454011
BTC-USD-SWAP,SHORT,109182.8,107399.25714285715,110074.57142857143,110074.57142857143,-0.08167691509756407
BTC-USD-SWAP,SHORT,109063.4,107203.82857142857,109993.1857142857,109993.1857142857,-0.08525185481891359
BTC-USD-SWAP,LONG,109391.1,111290.5,108441.40000000001,111290.5,0.17363386966581323
BTC-USD-SWAP,LONG,109732.0,111658.14285714284,108768.92857142858,111658.14285714284,0.17553155480104624
BTC-USD-SWAP,SHORT,109615.5,107685.6142857143,110580.44285714286,110580.44285714286,-0.08802978202378842
BTC-USD-SWAP,LONG,109886.0,111787.51428571428,108935.24285714286,111787.51428571428,0.17304427185576673
BTC-USD-SWAP,LONG,109990.0,111907.17142857143,109031.41428571429,111907.17142857143,0.17430415752081335
BTC-USD-SWAP,SHORT,109622.1,107750.4142857143,110557.94285714286,110557.94285714286,-0.08536990781446917
BTC-USD-SWAP,LONG,109690.8,111550.91428571427,108760.74285714286,111550.91428571427,0.1695779669502155
BTC-USD-SWAP,SHORT,109561.9,107719.87142857144,110482.91428571427,110482.91428571427,-0.08406337291652284
BTC-USD-SWAP,LONG,109756.0,111675.11428571427,108796.44285714286,111675.11428571427,0.17485279034533596
BTC-USD-SWAP,LONG,109842.1,111622.07142857142,108952.1142857143,111622.07142857142,0.1620481972368895
BTC-USD-SWAP,SHORT,109836.1,108159.9285714286,110674.18571428572,110674.18571428572,-0.07630330231005225
BTC-USD-SWAP,LONG,110125.7,111690.24285714285,109343.42857142858,109343.42857142858,-0.07103441145631015
BTC-USD-SWAP,LONG,110147.2,111573.48571428569,109434.05714285714,109434.05714285714,-0.06474452887979495
BTC-USD-SWAP,SHORT,109999.2,108805.05714285716,110596.27142857142,110596.27142857142,-0.05427961554006031
BTC-USD-SWAP,LONG,110080.0,111191.42857142857,109524.28571428572,109524.28571428572,-0.05048276578072996
BTC-USD-SWAP,LONG,110221.5,111299.75714285714,109682.37142857144,109682.37142857144,-0.048913194923727435
BTC-USD-SWAP,SHORT,110139.1,109120.8142857143,110648.24285714286,110648.24285714286,-0.04622725781696555
BTC-USD-SWAP,LONG,110290.1,111286.32857142857,109791.98571428572,109791.98571428572,-0.04516400707899295
BTC-USD-SWAP,SHORT,110174.0,109226.54285714286,110647.72857142857,110647.72857142857,-0.042998218402578475
BTC-USD-SWAP,LONG,110255.2,111166.79999999999,109799.4,109799.4,-0.04134045378358598
BTC-USD-SWAP,SHORT,109992.1,109034.95714285715,110470.67142857143,110470.67142857143,-0.04350961828816981
BTC-USD-SWAP,SHORT,109980.8,109048.34285714287,110447.02857142857,110447.02857142857,-0.042391814883013045
BTC-USD-SWAP,SHORT,109966.0,109121.85714285714,110388.07142857142,110388.07142857142,-0.03838199339536041
BTC-USD-SWAP,SHORT,109768.5,108883.52857142859,110210.9857142857,110210.9857142857,-0.0403108099578392
BTC-USD-SWAP,LONG,109948.7,110872.69999999998,109486.7,109486.7,-0.04201959641178113
BTC-USD-SWAP,LONG,110273.7,111282.9,109769.1,109769.1,-0.045758870882176915
BTC-USD-SWAP,SHORT,110253.0,109247.3142857143,110755.84285714285,110755.84285714285,-0.04560808840964437
BTC-USD-SWAP,SHORT,110246.1,109257.52857142859,110740.38571428572,110740.38571428572,-0.04483475735519987
BTC-USD-SWAP,SHORT,110051.6,108992.77142857145,110581.0142857143,110581.0142857143,-0.04810600533879443
BTC-USD-SWAP,LONG,110142.9,111196.61428571427,109616.04285714285,109616.04285714285,-0.04783396322932708
BTC-USD-SWAP,SHORT,110074.5,108953.6142857143,110634.94285714286,110634.94285714286,-0.050914867398249186
BTC-USD-SWAP,LONG,110238.0,111356.57142857142,109678.71428571429,109678.71428571429,-0.05073438508370164
BTC-USD-SWAP,LONG,110301.5,111426.41428571427,109739.04285714286,109739.04285714286,-0.05099270117424842
BTC-USD-SWAP,SHORT,110033.2,108881.97142857143,110608.81428571428,110608.81428571428,-0.05231278247967742
BTC-USD-SWAP,LONG,110132.0,111189.74285714286,109603.12857142858,109603.12857142858,-0.048021594865381836
BTC-USD-SWAP,LONG,110335.9,111442.41428571427,109782.64285714286,109782.64285714286,-0.05014298545234498
BTC-USD-SWAP,SHORT,110307.5,109210.78571428571,110855.85714285714,110855.85714285714,-0.04971168260155882
BTC-USD-SWAP,SHORT,110341.0,109292.91428571429,110865.04285714286,110865.04285714286,-0.047493031343096744
BTC-USD-SWAP,SHORT,110190.1,109138.38571428572,110715.95714285715,110715.95714285715,-0.04772272126598895
BTC-USD-SWAP,SHORT,110007.9,109069.01428571428,110477.34285714285,110477.34285714285,-0.04267355863923027
BTC-USD-SWAP,SHORT,109823.0,108876.34285714287,110296.32857142857,110296.32857142857,-0.0430992206940781
BTC-USD-SWAP,SHORT,109627.9,108659.78571428571,110111.95714285714,110111.95714285714,-0.04415455763151005
BTC-USD-SWAP,LONG,109849.8,110774.88571428572,109387.25714285714,110774.88571428572,0.08421369126623016
BTC-USD-SWAP,SHORT,109613.1,108647.95714285715,110095.67142857144,110095.67142857144,-0.04402497772359643
