🔄 2025-09-01 20:35:52 Баланс: 1000$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-01 20:38:18 Баланс: 9.00773098173842$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-01 20:40:14 Баланс: 9.00773098173842$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-01 20:42:09 Баланс: 8.88138682386742$ | PnL: -0.11733454 💵 | Сделок: 1 | WinRate: 0%
🔄 2025-09-01 20:44:06 Баланс: 8.88138682386742$ | PnL: -0.11733454 💵 | Сделок: 1 | WinRate: 0%
🔄 2025-09-01 20:45:49 Баланс: 8.88138682386742$ | PnL: -0.11733454 💵 | Сделок: 1 | WinRate: 0%
🔄 2025-09-01 20:47:29 Баланс: 8.88138682386742$ | PnL: -0.11733454 💵 | Сделок: 1 | WinRate: 0%
🔄 2025-09-01 20:49:38 Баланс: 8.55578054610011$ | PnL: -0.41620116 💵 | Сделок: 4 | WinRate: 0%
🔄 2025-09-01 20:51:23 Баланс: 8.55578054610011$ | PnL: -0.41620116 💵 | Сделок: 4 | WinRate: 0%
🔄 2025-09-01 20:53:08 Баланс: 8.55578054610011$ | PnL: -0.41620116 💵 | Сделок: 4 | WinRate: 0%
🔄 2025-09-01 20:54:51 Баланс: 8.55578054610011$ | PnL: -0.41620116 💵 | Сделок: 4 | WinRate: 0%
🔄 2025-09-01 20:56:33 Баланс: 8.55578054610011$ | PnL: -0.41620116 💵 | Сделок: 4 | WinRate: 0%
🔄 2025-09-01 20:58:13 Баланс: 8.55578054610011$ | PnL: -0.41620116 💵 | Сделок: 4 | WinRate: 0%
🔄 2025-09-01 20:59:56 Баланс: 8.55578054610011$ | PnL: -0.41620116 💵 | Сделок: 4 | WinRate: 0%
🔄 2025-09-01 21:01:37 Баланс: 8.55578054610011$ | PnL: -0.41620116 💵 | Сделок: 4 | WinRate: 0%
🔄 2025-09-01 21:03:17 Баланс: 8.55578054610011$ | PnL: -0.41620116 💵 | Сделок: 4 | WinRate: 0%
🔄 2025-09-01 21:05:00 Баланс: 8.55578054610011$ | PnL: -0.41620116 💵 | Сделок: 4 | WinRate: 0%
🔄 2025-09-01 21:06:42 Баланс: 8.55578054610011$ | PnL: -0.41620116 💵 | Сделок: 4 | WinRate: 0%
🔄 2025-09-01 21:08:24 Баланс: 8.41298943638811$ | PnL: -0.55000729 💵 | Сделок: 5 | WinRate: 0%
🔄 2025-09-01 21:10:04 Баланс: 8.41298943638811$ | PnL: -0.55000729 💵 | Сделок: 5 | WinRate: 0%
🔄 2025-09-01 21:11:44 Баланс: 8.41298943638811$ | PnL: -0.55000729 💵 | Сделок: 5 | WinRate: 0%
🔄 2025-09-01 21:13:25 Баланс: 8.41298943638811$ | PnL: -0.55000729 💵 | Сделок: 5 | WinRate: 0%
🔄 2025-09-01 21:15:07 Баланс: 8.60841734401811$ | PnL: -0.40647203 💵 | Сделок: 9 | WinRate: 33.33%
🔄 2025-09-01 21:16:46 Баланс: 8.60841734401811$ | PnL: -0.40647203 💵 | Сделок: 9 | WinRate: 33.33%
🔄 2025-09-01 21:18:26 Баланс: 8.51455976185011$ | PnL: -0.49132658 💵 | Сделок: 10 | WinRate: 30%
🔄 2025-09-01 21:20:09 Баланс: 8.65323809643871$ | PnL: -0.34364121 💵 | Сделок: 11 | WinRate: 36.36%
🔄 2025-09-01 21:21:49 Баланс: 8.65323809643871$ | PnL: -0.34364121 💵 | Сделок: 11 | WinRate: 36.36%
🔄 2025-09-01 21:23:28 Баланс: 8.65323809643871$ | PnL: -0.34364121 💵 | Сделок: 11 | WinRate: 36.36%
🔄 2025-09-01 21:25:29 Баланс: 8.65323809643871$ | PnL: -0.34364121 💵 | Сделок: 11 | WinRate: 36.36%
🔄 2025-09-01 21:27:11 Баланс: 8.89593181966171$ | PnL: -0.07401013 💵 | Сделок: 14 | WinRate: 50%
🔄 2025-09-01 21:28:56 Баланс: 9.4541392689711$ | PnL: 0.54965439 💵 | Сделок: 22 | WinRate: 68.18%
🔄 2025-09-01 21:30:37 Баланс: 9.6173198965119$ | PnL: 0.73070872 💵 | Сделок: 24 | WinRate: 70.83%
🔄 2025-09-01 21:32:18 Баланс: 9.7287037024319$ | PnL: 0.8514833 💵 | Сделок: 25 | WinRate: 72%
🔄 2025-09-01 21:34:13 Баланс: 0.0649691080531181$ | PnL: 1.18871485 💵 | Сделок: 32 | WinRate: 75%
🔄 2025-09-01 21:35:56 Баланс: 0.129250166303118$ | PnL: 1.26265746 💵 | Сделок: 33 | WinRate: 75.76%
🔄 2025-09-01 21:37:36 Баланс: 0.311205965875919$ | PnL: 1.46278322 💵 | Сделок: 35 | WinRate: 77.14%
🔄 2025-09-01 21:39:18 Баланс: 0.55298134970098$ | PnL: 1.72252046 💵 | Сделок: 37 | WinRate: 78.38%
🔄 2025-09-01 21:40:58 Баланс: 0.55298134970098$ | PnL: 1.72252046 💵 | Сделок: 37 | WinRate: 78.38%
🔄 2025-09-01 21:42:38 Баланс: 0.618994444300981$ | PnL: 1.80374628 💵 | Сделок: 38 | WinRate: 78.95%
🔄 2025-09-01 21:44:19 Баланс: 0.584708616300981$ | PnL: 1.74494798 💵 | Сделок: 39 | WinRate: 76.92%
🔄 2025-09-01 21:46:00 Баланс: 0.584708616300981$ | PnL: 1.74494798 💵 | Сделок: 39 | WinRate: 76.92%
🔄 2025-09-01 21:47:40 Баланс: 0.584708616300981$ | PnL: 1.74494798 💵 | Сделок: 39 | WinRate: 76.92%
🔄 2025-09-01 21:49:21 Баланс: 0.584708616300981$ | PnL: 1.74494798 💵 | Сделок: 39 | WinRate: 76.92%
🔄 2025-09-01 21:51:01 Баланс: 0.584708616300981$ | PnL: 1.74494798 💵 | Сделок: 39 | WinRate: 76.92%
🔄 2025-09-01 21:52:43 Баланс: 0.584708616300981$ | PnL: 1.74494798 💵 | Сделок: 39 | WinRate: 76.92%
🔄 2025-09-01 21:54:25 Баланс: 0.468996323294181$ | PnL: 1.63822733 💵 | Сделок: 40 | WinRate: 75%
🔄 2025-09-01 21:56:05 Баланс: 0.468996323294181$ | PnL: 1.63822733 💵 | Сделок: 40 | WinRate: 75%
🔄 2025-09-01 21:57:45 Баланс: 0.468996323294181$ | PnL: 1.63822733 💵 | Сделок: 40 | WinRate: 75%
🔄 2025-09-01 21:59:26 Баланс: 0.468996323294181$ | PnL: 1.63822733 💵 | Сделок: 40 | WinRate: 75%
🔄 2025-09-01 22:01:29 Баланс: 0.468996323294181$ | PnL: 1.63822733 💵 | Сделок: 40 | WinRate: 75%
🔄 2025-09-01 22:03:09 Баланс: 0.468996323294181$ | PnL: 1.63822733 💵 | Сделок: 40 | WinRate: 75%
🔄 2025-09-01 22:04:51 Баланс: 0.600145198968983$ | PnL: 1.77837331 💵 | Сделок: 41 | WinRate: 75.61%
🔄 2025-09-01 22:06:32 Баланс: 0.529705987442982$ | PnL: 1.71687548 💵 | Сделок: 42 | WinRate: 73.81%
🔄 2025-09-01 22:08:15 Баланс: 0.436467426391882$ | PnL: 1.63262424 💵 | Сделок: 43 | WinRate: 72.09%
🔄 2025-09-01 22:09:57 Баланс: 0.573314669611083$ | PnL: 1.77847712 💵 | Сделок: 44 | WinRate: 72.73%
🔄 2025-09-01 22:11:37 Баланс: 0.573314669611083$ | PnL: 1.77847712 💵 | Сделок: 44 | WinRate: 72.73%
🔄 2025-09-01 22:13:41 Баланс: 0.45045560852108$ | PnL: 1.66450418 💵 | Сделок: 45 | WinRate: 71.11%
🔄 2025-09-01 22:15:59 Баланс: 0.308175253284078$ | PnL: 1.53122258 💵 | Сделок: 46 | WinRate: 69.57%
🔄 2025-09-01 22:17:45 Баланс: 0.0590523515130794$ | PnL: 1.29972262 💵 | Сделок: 48 | WinRate: 66.67%
🔄 2025-09-01 22:19:25 Баланс: 0.0590523515130794$ | PnL: 1.29972262 💵 | Сделок: 48 | WinRate: 66.67%
🔄 2025-09-01 22:21:06 Баланс: 9.81569226749528$ | PnL: 1.06553127 💵 | Сделок: 50 | WinRate: 64%
🔄 2025-09-01 22:22:53 Баланс: 9.76782075983955$ | PnL: 1.044662 💵 | Сделок: 53 | WinRate: 62.26%
🔄 2025-09-01 22:24:34 Баланс: 9.63269758132075$ | PnL: 0.91852793 💵 | Сделок: 54 | WinRate: 61.11%
🔄 2025-09-01 22:26:32 Баланс: 9.49758385367075$ | PnL: 0.79241407 💵 | Сделок: 55 | WinRate: 60%
🔄 2025-09-01 22:28:10 Баланс: 9.49758385367075$ | PnL: 0.79241407 💵 | Сделок: 55 | WinRate: 60%
🔄 2025-09-01 22:29:49 Баланс: 9.49758385367075$ | PnL: 0.79241407 💵 | Сделок: 55 | WinRate: 60%
🔄 2025-09-01 22:31:29 Баланс: 9.49758385367075$ | PnL: 0.79241407 💵 | Сделок: 55 | WinRate: 60%
🔄 2025-09-01 22:34:33 Баланс: 38.5276498627314$ | PnL: -0.121122760000001 💵 | Сделок: 65 | WinRate: 50.77%
🔄 2025-09-01 22:37:09 Баланс: 8.31365388434376$ | PnL: -0.28829729 💵 | Сделок: 67 | WinRate: 49.25%
🔄 2025-09-01 22:38:49 Баланс: 8.31365388434376$ | PnL: -0.28829729 💵 | Сделок: 67 | WinRate: 49.25%
🔄 2025-09-01 22:40:28 Баланс: 8.31365388434376$ | PnL: -0.28829729 💵 | Сделок: 67 | WinRate: 49.25%
🔄 2025-09-01 22:42:07 Баланс: 8.31365388434376$ | PnL: -0.28829729 💵 | Сделок: 67 | WinRate: 49.25%
🔄 2025-09-01 22:44:04 Баланс: 8.14103071411876$ | PnL: -0.44302385 💵 | Сделок: 69 | WinRate: 47.83%
🔄 2025-09-01 22:46:40 Баланс: 7.89514203872381$ | PnL: -0.670826630000001 💵 | Сделок: 71 | WinRate: 46.48%
🔄 2025-09-01 22:49:28 Баланс: 7.66614916614781$ | PnL: -0.881553030000001 💵 | Сделок: 73 | WinRate: 45.21%
🔄 2025-09-01 22:51:07 Баланс: 7.66614916614781$ | PnL: -0.881553030000001 💵 | Сделок: 73 | WinRate: 45.21%
🔄 2025-09-01 22:52:47 Баланс: 7.66614916614781$ | PnL: -0.881553030000001 💵 | Сделок: 73 | WinRate: 45.21%
🔄 2025-09-01 22:55:12 Баланс: 7.76064411997982$ | PnL: -0.778063250000001 💵 | Сделок: 74 | WinRate: 45.95%
🔄 2025-09-01 22:58:16 Баланс: 7.73777172010032$ | PnL: -0.93969922 💵 | Сделок: 77 | WinRate: 45.45%
🔄 2025-09-01 22:59:56 Баланс: 7.73777172010032$ | PnL: -0.93969922 💵 | Сделок: 77 | WinRate: 45.45%
🔄 2025-09-01 23:01:36 Баланс: 7.73777172010032$ | PnL: -0.93969922 💵 | Сделок: 77 | WinRate: 45.45%
🔄 2025-09-01 23:03:16 Баланс: 7.73777172010032$ | PnL: -0.93969922 💵 | Сделок: 77 | WinRate: 45.45%
