🔄 2025-09-25 09:53:25 Баланс: 200$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-25 10:00:15 Баланс: 80.3968464430408$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-25 10:07:49 Баланс: 2.40587145192975$ | PnL: 0.0890996 💵 | Сделок: 12 | WinRate: 100%
🔄 2025-09-25 10:18:32 Баланс: 2.24704380350239$ | PnL: 0.45435325 💵 | Сделок: 73 | WinRate: 100%
🔄 2025-09-25 10:27:17 Баланс: 2.03543996700465$ | PnL: 0.756297489999999 💵 | Сделок: 125 | WinRate: 100%
🔄 2025-09-25 10:35:43 Баланс: 2.10411261333867$ | PnL: 0.876375939999999 💵 | Сделок: 144 | WinRate: 100%
🔄 2025-09-25 10:45:06 Баланс: 2.14603950811967$ | PnL: 0.942982259999999 💵 | Сделок: 153 | WinRate: 100%
🔄 2025-09-25 10:53:28 Баланс: 2.23234489276593$ | PnL: 1.09867183 💵 | Сделок: 177 | WinRate: 100%
🔄 2025-09-25 11:01:48 Баланс: 2.37229891557265$ | PnL: 1.31335889 💵 | Сделок: 211 | WinRate: 100%
🔄 2025-09-25 11:10:06 Баланс: 2.43635834188658$ | PnL: 1.42617642 💵 | Сделок: 232 | WinRate: 100%
🔄 2025-09-25 11:18:26 Баланс: 0.214522924686583$ | PnL: 1.43666564 💵 | Сделок: 237 | WinRate: 100%
🔄 2025-09-25 11:26:51 Баланс: 0.216870746646582$ | PnL: 1.45956591 💵 | Сделок: 241 | WinRate: 100%
🔄 2025-09-25 11:35:06 Баланс: 0.234524159946583$ | PnL: 1.47958271 💵 | Сделок: 243 | WinRate: 100%
🔄 2025-09-25 11:43:16 Баланс: 0.249587010846583$ | PnL: 1.49755101 💵 | Сделок: 244 | WinRate: 100%
🔄 2025-09-25 11:51:38 Баланс: 0.249587010846583$ | PnL: 1.49755101 💵 | Сделок: 244 | WinRate: 100%
🔄 2025-09-25 12:00:06 Баланс: 0.306016567455844$ | PnL: 1.57564798 💵 | Сделок: 253 | WinRate: 100%
🔄 2025-09-25 12:08:31 Баланс: 0.331781012878044$ | PnL: 1.61294338 💵 | Сделок: 257 | WinRate: 100%
🔄 2025-09-25 12:16:52 Баланс: 0.349123959541044$ | PnL: 1.63518656 💵 | Сделок: 259 | WinRate: 100%
🔄 2025-09-25 12:25:20 Баланс: 0.365184379681044$ | PnL: 1.65399587 💵 | Сделок: 260 | WinRate: 100%
🔄 2025-09-25 12:33:47 Баланс: 0.381476702481045$ | PnL: 1.67314062 💵 | Сделок: 261 | WinRate: 100%
🔄 2025-09-25 12:42:18 Баланс: 0.397533419981044$ | PnL: 1.69211436 💵 | Сделок: 262 | WinRate: 100%
🔄 2025-09-25 12:50:48 Баланс: 0.448912788380471$ | PnL: 1.77427148 💵 | Сделок: 273 | WinRate: 100%
🔄 2025-09-25 12:59:17 Баланс: 0.469672644378471$ | PnL: 1.80540325 💵 | Сделок: 277 | WinRate: 100%
🔄 2025-09-25 13:07:51 Баланс: 0.492878333988471$ | PnL: 1.83944974 💵 | Сделок: 281 | WinRate: 100%
🔄 2025-09-25 13:16:34 Баланс: 0.509407704068471$ | PnL: 1.85889006 💵 | Сделок: 282 | WinRate: 100%
🔄 2025-09-25 13:25:05 Баланс: 0.526766056358471$ | PnL: 1.87870164 💵 | Сделок: 283 | WinRate: 100%
🔄 2025-09-25 13:33:38 Баланс: 0.526766056358471$ | PnL: 1.87870164 💵 | Сделок: 283 | WinRate: 100%
🔄 2025-09-25 13:42:13 Баланс: 0.526766056358471$ | PnL: 1.87870164 💵 | Сделок: 283 | WinRate: 100%
🔄 2025-09-25 13:50:39 Баланс: 0.526766056358471$ | PnL: 1.87870164 💵 | Сделок: 283 | WinRate: 100%
🔄 2025-09-25 13:58:58 Баланс: 0.51336480902097$ | PnL: 1.90057293 💵 | Сделок: 287 | WinRate: 100%
🔄 2025-09-25 14:07:24 Баланс: 0.560052569132471$ | PnL: 1.96560815 💵 | Сделок: 299 | WinRate: 100%
🔄 2025-09-25 14:15:39 Баланс: 0.561082492673471$ | PnL: 1.96933841 💵 | Сделок: 300 | WinRate: 100%
🔄 2025-09-25 14:24:04 Баланс: 0.561082492673471$ | PnL: 1.96933841 💵 | Сделок: 300 | WinRate: 100%
🔄 2025-09-25 14:32:36 Баланс: 0.561082492673471$ | PnL: 1.96933841 💵 | Сделок: 300 | WinRate: 100%
🔄 2025-09-25 14:41:03 Баланс: 0.563530461216871$ | PnL: 1.97724784 💵 | Сделок: 302 | WinRate: 100%
🔄 2025-09-25 14:49:39 Баланс: 0.563530461216871$ | PnL: 1.97724784 💵 | Сделок: 302 | WinRate: 100%
🔄 2025-09-25 14:58:15 Баланс: 0.57549721787067$ | PnL: 2.00000782 💵 | Сделок: 306 | WinRate: 100%
🔄 2025-09-25 15:06:42 Баланс: 0.57945918269037$ | PnL: 2.01479281 💵 | Сделок: 310 | WinRate: 100%
🔄 2025-09-25 15:15:20 Баланс: 0.593264202616971$ | PnL: 2.04700905 💵 | Сделок: 317 | WinRate: 100%
🔄 2025-09-25 15:23:45 Баланс: 3.04935755371187$ | PnL: 2.130566 💵 | Сделок: 336 | WinRate: 100%
🔄 2025-09-25 15:32:13 Баланс: 2.69914121550957$ | PnL: 2.17635018 💵 | Сделок: 345 | WinRate: 100%
🔄 2025-09-25 15:40:33 Баланс: 2.71649697486694$ | PnL: 2.20899348 💵 | Сделок: 350 | WinRate: 100%
🔄 2025-09-25 15:48:42 Баланс: 2.72416925115937$ | PnL: 2.25536988 💵 | Сделок: 360 | WinRate: 100%
🔄 2025-09-25 15:56:44 Баланс: 0.0323042750209206$ | PnL: 2.44160157 💵 | Сделок: 391 | WinRate: 100%
🔄 2025-09-25 16:05:04 Баланс: 0.0339922513729212$ | PnL: 2.44594764 💵 | Сделок: 393 | WinRate: 100%
🔄 2025-09-25 16:12:51 Баланс: 0.0339922513729212$ | PnL: 2.44594764 💵 | Сделок: 394 | WinRate: 100%
🔄 2025-09-25 16:20:50 Баланс: 2.83868652147292$ | PnL: 2.25870217 💵 | Сделок: 398 | WinRate: 99.75%
