🔄 2025-09-25 09:53:21 Баланс: 200$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-25 10:00:11 Баланс: 163.967713510067$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-25 10:07:18 Баланс: 157.975613257039$ | PnL: 0.02426522 💵 | Сделок: 4 | WinRate: 100%
🔄 2025-09-25 10:16:17 Баланс: 107.123601526782$ | PnL: 0.08656186 💵 | Сделок: 16 | WinRate: 100%
🔄 2025-09-25 10:24:33 Баланс: 56.3415542832402$ | PnL: 0.19408051 💵 | Сделок: 44 | WinRate: 100%
🔄 2025-09-25 10:32:41 Баланс: 58.9817727540829$ | PnL: 0.29714105 💵 | Сделок: 70 | WinRate: 100%
🔄 2025-09-25 10:41:21 Баланс: 55.9858320144841$ | PnL: 0.32175423 💵 | Сделок: 77 | WinRate: 100%
🔄 2025-09-25 10:49:34 Баланс: 2.16283638079433$ | PnL: 0.39245786 💵 | Сделок: 92 | WinRate: 100%
🔄 2025-09-25 10:57:52 Баланс: 2.17390638728545$ | PnL: 0.48367332 💵 | Сделок: 119 | WinRate: 100%
🔄 2025-09-25 11:06:15 Баланс: 10.8395669707878$ | PnL: 0.64465001 💵 | Сделок: 167 | WinRate: 100%
🔄 2025-09-25 11:14:31 Баланс: 1.83003562053011$ | PnL: 0.68750578 💵 | Сделок: 182 | WinRate: 100%
🔄 2025-09-25 11:22:57 Баланс: 7.84045468530431$ | PnL: 0.7155073 💵 | Сделок: 189 | WinRate: 100%
🔄 2025-09-25 11:31:12 Баланс: 7.84856167390431$ | PnL: 0.72615033 💵 | Сделок: 190 | WinRate: 100%
🔄 2025-09-25 11:39:45 Баланс: 4.85746536331897$ | PnL: 0.74829734 💵 | Сделок: 194 | WinRate: 100%
🔄 2025-09-25 11:47:58 Баланс: 7.86951572826577$ | PnL: 0.76579913 💵 | Сделок: 197 | WinRate: 100%
🔄 2025-09-25 11:56:26 Баланс: 4.87961228907277$ | PnL: 0.78950932 💵 | Сделок: 201 | WinRate: 100%
🔄 2025-09-25 12:04:50 Баланс: 16.9018992789429$ | PnL: 0.83284961 💵 | Сделок: 213 | WinRate: 100%
🔄 2025-09-25 12:13:06 Баланс: 19.9072177803909$ | PnL: 0.84084288 💵 | Сделок: 215 | WinRate: 100%
