🔄 2025-09-10 21:14:31 Баланс: 5000$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-10 21:17:35 Баланс: 4335.36784655085$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-10 21:21:14 Баланс: 4285.32242062586$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-10 21:25:01 Баланс: 4285.32242062586$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-10 21:28:45 Баланс: 4285.32242062586$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-10 21:32:27 Баланс: 4285.32242062586$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-10 21:36:47 Баланс: 4285.32242062586$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-10 21:40:28 Баланс: 4285.32242062586$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-10 21:44:12 Баланс: 4285.32242062586$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-10 21:47:52 Баланс: 4285.32242062586$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-10 21:51:36 Баланс: 4285.32242062586$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-10 21:55:21 Баланс: 4285.32242062586$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-10 21:59:03 Баланс: 4285.32242062586$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-10 22:02:46 Баланс: 4285.32242062586$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-10 22:06:28 Баланс: 4285.32242062586$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-10 22:10:17 Баланс: 4285.32242062586$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-10 22:14:41 Баланс: 4285.32242062586$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-10 22:18:23 Баланс: 4285.8147650681$ | PnL: 0.50136497 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-10 22:22:04 Баланс: 4285.8147650681$ | PnL: 0.50136497 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-10 22:25:45 Баланс: 4285.8147650681$ | PnL: 0.50136497 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-10 22:29:28 Баланс: 4285.8147650681$ | PnL: 0.50136497 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-10 22:33:08 Баланс: 4285.8147650681$ | PnL: 0.50136497 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-10 22:36:54 Баланс: 4285.8147650681$ | PnL: 0.50136497 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-10 22:40:39 Баланс: 4285.8147650681$ | PnL: 0.50136497 💵 | Сделок: 1 | WinRate: 100%
